compiler,cpu,pattern,variant,trial,queries,ns_per_rank,checksum
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,0,1048576,12.797117,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,1,1048576,16.868660,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,1,1048576,16.198545,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,1,1048576,12.829764,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,1,1048576,15.999054,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,2,1048576,16.234220,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,2,1048576,12.801689,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,2,1048576,15.996015,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,2,1048576,446.954213,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,3,1048576,12.852448,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,3,1048576,16.063197,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,3,1048576,16.902333,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,3,1048576,16.286564,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,4,1048576,15.977663,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,4,1048576,16.933881,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,4,1048576,16.205179,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,4,1048576,12.800444,66642894088
