variant,revision,trial,profile,records,prefix_bytes,round,build_ns,record_ns,payload_bytes,wire_digest
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,1,byte_variable,16384,0,1,1570500.000,95.856,328817,14631988329332027140
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,1,byte_variable,16384,0,2,1557792.000,95.080,328817,14631988329332027140
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,1,bit_fixed,16384,0,0,1999708.000,122.052,60153,8519433193016921614
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,1,bit_fixed,16384,0,1,1901584.000,116.063,60153,8519433193016921614
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,1,bit_fixed,16384,0,2,1865375.000,113.853,60153,8519433193016921614
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,1,bit_variable,16384,0,0,2228333.000,136.007,83038,15871665711279132660
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,1,bit_variable,16384,0,1,2264667.000,138.224,83038,15871665711279132660
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,1,bit_variable,16384,0,2,2259084.000,137.884,83038,15871665711279132660
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,2,byte_fixed,16384,0,0,1304250.000,79.605,181387,10403037783553420394
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,2,byte_fixed,16384,0,1,1212542.000,74.008,181387,10403037783553420394
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,2,byte_fixed,16384,0,2,1225084.000,74.773,181387,10403037783553420394
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,2,byte_variable,16384,0,0,1744958.000,106.504,328817,14631988329332027140
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,2,byte_variable,16384,0,1,1507375.000,92.003,328817,14631988329332027140
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,2,byte_variable,16384,0,2,1547375.000,94.444,328817,14631988329332027140
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,2,bit_fixed,16384,0,0,1856208.000,113.294,60153,8519433193016921614
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,2,bit_fixed,16384,0,1,1812583.000,110.631,60153,8519433193016921614
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,2,bit_fixed,16384,0,2,1900500.000,115.997,60153,8519433193016921614
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,2,bit_variable,16384,0,0,2263750.000,138.168,83038,15871665711279132660
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,2,bit_variable,16384,0,1,2310542.000,141.024,83038,15871665711279132660
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,2,bit_variable,16384,0,2,2199458.000,134.244,83038,15871665711279132660
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,2,byte_fixed,16384,0,0,759250.000,46.341,181387,10403037783553420394
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,2,byte_fixed,16384,0,1,779250.000,47.562,181387,10403037783553420394
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,2,byte_fixed,16384,0,2,749000.000,45.715,181387,10403037783553420394
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,2,byte_variable,16384,0,0,930875.000,56.816,328817,14631988329332027140
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,2,byte_variable,16384,0,1,945167.000,57.688,328817,14631988329332027140
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,2,byte_variable,16384,0,2,960333.000,58.614,328817,14631988329332027140
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,2,bit_fixed,16384,0,0,1346416.000,82.179,60153,8519433193016921614
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,2,bit_fixed,16384,0,1,1358166.000,82.896,60153,8519433193016921614
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,2,bit_fixed,16384,0,2,1414833.000,86.355,60153,8519433193016921614
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,2,bit_variable,16384,0,0,1832583.000,111.852,83038,15871665711279132660
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,2,bit_variable,16384,0,1,1814000.000,110.718,83038,15871665711279132660
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,2,bit_variable,16384,0,2,1810417.000,110.499,83038,15871665711279132660
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,3,byte_fixed,16384,0,0,839875.000,51.262,181387,10403037783553420394
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,3,byte_fixed,16384,0,1,755041.000,46.084,181387,10403037783553420394
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,3,byte_fixed,16384,0,2,772875.000,47.173,181387,10403037783553420394
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,3,byte_variable,16384,0,0,921458.000,56.241,328817,14631988329332027140
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,3,byte_variable,16384,0,1,852708.000,52.045,328817,14631988329332027140
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,3,byte_variable,16384,0,2,1008333.000,61.544,328817,14631988329332027140
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,3,bit_fixed,16384,0,0,1408208.000,85.950,60153,8519433193016921614
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,3,bit_fixed,16384,0,1,1382417.000,84.376,60153,8519433193016921614
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,3,bit_fixed,16384,0,2,1408875.000,85.991,60153,8519433193016921614
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,3,bit_variable,16384,0,0,1805834.000,110.219,83038,15871665711279132660
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,3,bit_variable,16384,0,1,1850250.000,112.930,83038,15871665711279132660
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,3,bit_variable,16384,0,2,1915458.000,116.910,83038,15871665711279132660
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,3,byte_fixed,16384,0,0,1265291.000,77.227,181387,10403037783553420394
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,3,byte_fixed,16384,0,1,1187334.000,72.469,181387,10403037783553420394
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,3,byte_fixed,16384,0,2,1224875.000,74.760,181387,10403037783553420394
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,3,byte_variable,16384,0,0,1541375.000,94.078,328817,14631988329332027140
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,3,byte_variable,16384,0,1,1532375.000,93.529,328817,14631988329332027140
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,3,byte_variable,16384,0,2,1637959.000,99.973,328817,14631988329332027140
