variant,trial,profile,group_size,base_records,prefix_bytes,queries,rounds,operation,ns_per_operation,digest_bytes,encoding_digest,checksum
baseline,0,byte_variable,15,4096,0,4096,3,build_base,487305.333,117756,13548080211769040896,1266540658023773504
baseline,0,byte_variable,15,4096,0,4096,3,build_pipeline,438333.667,117756,13548080211769040896,1266540658023773504
baseline,0,byte_variable,15,4096,0,4096,3,search_window,1304.555,117756,13548080211769040896,1266540658023773504
baseline,0,bit_variable,15,4096,0,4096,3,build_base,886527.667,33284,12340914183703058563,3913898930545937452
baseline,0,bit_variable,15,4096,0,4096,3,build_pipeline,879138.667,33284,12340914183703058563,3913898930545937452
baseline,0,bit_variable,15,4096,0,4096,3,search_window,2622.158,33284,12340914183703058563,3913898930545937452
baseline,0,byte_fixed,7,4096,0,4096,3,build_base,249249.667,69157,2366567768067080201,10891408377234565797
baseline,0,byte_fixed,7,4096,0,4096,3,build_pipeline,403958.667,69157,2366567768067080201,10891408377234565797
baseline,0,byte_fixed,7,4096,0,4096,3,search_window,651.150,69157,2366567768067080201,10891408377234565797
baseline,0,bit_fixed,31,4096,0,4096,3,build_base,544056.000,23895,13496294193513833151,16766508778720483772
baseline,0,bit_fixed,31,4096,0,4096,3,build_pipeline,451056.000,23895,13496294193513833151,16766508778720483772
baseline,0,bit_fixed,31,4096,0,4096,3,search_window,2797.048,23895,13496294193513833151,16766508778720483772
candidate,0,byte_variable,15,4096,0,4096,3,build_base,349111.000,117756,13548080211769040896,1266540658023773504
candidate,0,byte_variable,15,4096,0,4096,3,build_pipeline,444624.667,117756,13548080211769040896,1266540658023773504
candidate,0,byte_variable,15,4096,0,4096,3,search_window,1520.026,117756,13548080211769040896,1266540658023773504
candidate,0,bit_variable,15,4096,0,4096,3,build_base,398403.000,33284,12340914183703058563,3913898930545937452
candidate,0,bit_variable,15,4096,0,4096,3,build_pipeline,599153.000,33284,12340914183703058563,3913898930545937452
candidate,0,bit_variable,15,4096,0,4096,3,search_window,2008.437,33284,12340914183703058563,3913898930545937452
candidate,0,byte_fixed,7,4096,0,4096,3,build_base,179708.333,69157,2366567768067080201,10891408377234565797
candidate,0,byte_fixed,7,4096,0,4096,3,build_pipeline,389569.667,69157,2366567768067080201,10891408377234565797
candidate,0,byte_fixed,7,4096,0,4096,3,search_window,701.199,69157,2366567768067080201,10891408377234565797
candidate,0,bit_fixed,31,4096,0,4096,3,build_base,272319.333,23895,13496294193513833151,16766508778720483772
candidate,0,bit_fixed,31,4096,0,4096,3,build_pipeline,434597.333,23895,13496294193513833151,16766508778720483772
candidate,0,bit_fixed,31,4096,0,4096,3,search_window,2103.350,23895,13496294193513833151,16766508778720483772
candidate,1,byte_variable,15,4096,0,4096,3,build_base,206749.667,117756,13548080211769040896,1266540658023773504
candidate,1,byte_variable,15,4096,0,4096,3,build_pipeline,256472.000,117756,13548080211769040896,1266540658023773504
candidate,1,byte_variable,15,4096,0,4096,3,search_window,919.169,117756,13548080211769040896,1266540658023773504
candidate,1,bit_variable,15,4096,0,4096,3,build_base,331236.333,33284,12340914183703058563,3913898930545937452
candidate,1,bit_variable,15,4096,0,4096,3,build_pipeline,515527.667,33284,12340914183703058563,3913898930545937452
candidate,1,bit_variable,15,4096,0,4096,3,search_window,1739.336,33284,12340914183703058563,3913898930545937452
candidate,1,byte_fixed,7,4096,0,4096,3,build_base,200402.667,69157,2366567768067080201,10891408377234565797
candidate,1,byte_fixed,7,4096,0,4096,3,build_pipeline,378250.000,69157,2366567768067080201,10891408377234565797
candidate,1,byte_fixed,7,4096,0,4096,3,search_window,662.974,69157,2366567768067080201,10891408377234565797
candidate,1,bit_fixed,31,4096,0,4096,3,build_base,289694.000,23895,13496294193513833151,16766508778720483772
candidate,1,bit_fixed,31,4096,0,4096,3,build_pipeline,390417.000,23895,13496294193513833151,16766508778720483772
candidate,1,bit_fixed,31,4096,0,4096,3,search_window,2087.385,23895,13496294193513833151,16766508778720483772
baseline,1,byte_variable,15,4096,0,4096,3,build_base,286139.000,117756,13548080211769040896,1266540658023773504
baseline,1,byte_variable,15,4096,0,4096,3,build_pipeline,281583.333,117756,13548080211769040896,1266540658023773504
baseline,1,byte_variable,15,4096,0,4096,3,search_window,845.635,117756,13548080211769040896,1266540658023773504
baseline,1,bit_variable,15,4096,0,4096,3,build_base,785319.333,33284,12340914183703058563,3913898930545937452
baseline,1,bit_variable,15,4096,0,4096,3,build_pipeline,757375.000,33284,12340914183703058563,3913898930545937452
baseline,1,bit_variable,15,4096,0,4096,3,search_window,2416.595,33284,12340914183703058563,3913898930545937452
baseline,1,byte_fixed,7,4096,0,4096,3,build_base,238541.667,69157,2366567768067080201,10891408377234565797
baseline,1,byte_fixed,7,4096,0,4096,3,build_pipeline,405778.000,69157,2366567768067080201,10891408377234565797
baseline,1,byte_fixed,7,4096,0,4096,3,search_window,669.488,69157,2366567768067080201,10891408377234565797
baseline,1,bit_fixed,31,4096,0,4096,3,build_base,519930.333,23895,13496294193513833151,16766508778720483772
baseline,1,bit_fixed,31,4096,0,4096,3,build_pipeline,472541.667,23895,13496294193513833151,16766508778720483772
baseline,1,bit_fixed,31,4096,0,4096,3,search_window,2784.322,23895,13496294193513833151,16766508778720483772
baseline,2,byte_variable,15,4096,0,4096,3,build_base,291111.000,117756,13548080211769040896,1266540658023773504
baseline,2,byte_variable,15,4096,0,4096,3,build_pipeline,278889.000,117756,13548080211769040896,1266540658023773504
baseline,2,byte_variable,15,4096,0,4096,3,search_window,849.447,117756,13548080211769040896,1266540658023773504
baseline,2,bit_variable,15,4096,0,4096,3,build_base,784555.333,33284,12340914183703058563,3913898930545937452
baseline,2,bit_variable,15,4096,0,4096,3,build_pipeline,699902.333,33284,12340914183703058563,3913898930545937452
baseline,2,bit_variable,15,4096,0,4096,3,search_window,2458.815,33284,12340914183703058563,3913898930545937452
baseline,2,byte_fixed,7,4096,0,4096,3,build_base,322458.000,69157,2366567768067080201,10891408377234565797
baseline,2,byte_fixed,7,4096,0,4096,3,build_pipeline,416111.333,69157,2366567768067080201,10891408377234565797
baseline,2,byte_fixed,7,4096,0,4096,3,search_window,670.454,69157,2366567768067080201,10891408377234565797
baseline,2,bit_fixed,31,4096,0,4096,3,build_base,689763.667,23895,13496294193513833151,16766508778720483772
baseline,2,bit_fixed,31,4096,0,4096,3,build_pipeline,498806.000,23895,13496294193513833151,16766508778720483772
baseline,2,bit_fixed,31,4096,0,4096,3,search_window,2824.826,23895,13496294193513833151,16766508778720483772
candidate,2,byte_variable,15,4096,0,4096,3,build_base,228124.667,117756,13548080211769040896,1266540658023773504
candidate,2,byte_variable,15,4096,0,4096,3,build_pipeline,264819.333,117756,13548080211769040896,1266540658023773504
candidate,2,byte_variable,15,4096,0,4096,3,search_window,928.053,117756,13548080211769040896,1266540658023773504
candidate,2,bit_variable,15,4096,0,4096,3,build_base,327763.667,33284,12340914183703058563,3913898930545937452
candidate,2,bit_variable,15,4096,0,4096,3,build_pipeline,497708.000,33284,12340914183703058563,3913898930545937452
candidate,2,bit_variable,15,4096,0,4096,3,search_window,1733.100,33284,12340914183703058563,3913898930545937452
