compiler,cpu,pattern,variant,trial,queries,ns_per_rank,checksum
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,1,1048576,18.344433,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,1,1048576,16.570648,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,1,1048576,16.045897,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,1,1048576,16.335237,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,1,1048576,14.101705,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,1,1048576,12.716190,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,1,1048576,13.725432,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,2,1048576,16.649832,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,2,1048576,15.968174,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,2,1048576,16.311568,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,2,1048576,13.868290,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,2,1048576,12.677110,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,2,1048576,13.717525,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,2,1048576,18.423154,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,3,1048576,15.950045,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,3,1048576,16.315431,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,3,1048576,13.891021,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,3,1048576,12.655776,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,3,1048576,13.799816,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,3,1048576,18.518913,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,3,1048576,16.548674,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,4,1048576,16.365434,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,4,1048576,13.906433,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,4,1048576,12.658764,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,4,1048576,13.834746,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,4,1048576,18.451818,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,4,1048576,494.218668,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,4,1048576,15.993872,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,0,1048576,15.270835,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,0,1048576,15.196964,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,0,1048576,9.033534,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,0,1048576,15.054044,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,0,1048576,8.066075,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,0,1048576,14.841859,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,0,1048576,6.584865,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,1,1048576,15.217402,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,1,1048576,8.998496,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,1,1048576,15.173441,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,1,1048576,8.059132,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,1,1048576,14.980806,66754679920
