variant,trial,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
fail_stop,0,bit,15,4096,64,87,1,4096,18084.000,4221.446,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
outlined,0,byte,15,4096,64,87,1,4096,30333.000,2710.266,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
outlined,0,bit,15,4096,64,87,1,4096,43584.000,4379.303,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
fail_stop,0,byte,15,4096,64,87,1,4096,16750.000,2713.450,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
fail_stop,0,bit,15,4096,64,87,1,4096,29375.000,4160.573,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
baseline,0,byte,15,4096,64,87,1,4096,15125.000,3070.648,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
baseline,0,bit,15,4096,64,87,1,4096,21375.000,4695.272,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
outlined,0,byte,15,4096,64,87,1,4096,17875.000,2768.036,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
outlined,0,bit,15,4096,64,87,1,4096,61875.000,4355.052,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
fail_stop,0,byte,15,4096,64,87,1,4096,13166.000,2745.707,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
fail_stop,0,bit,15,4096,64,87,1,4096,34125.000,4199.839,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
outlined,0,byte,15,4096,64,87,1,4096,19417.000,2744.141,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
outlined,0,bit,15,4096,64,87,1,4096,27125.000,4315.867,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
baseline,0,byte,15,4096,64,87,1,4096,22000.000,3191.762,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
baseline,0,bit,15,4096,64,87,1,4096,25458.000,4658.386,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
outlined,0,byte,15,4096,64,87,1,4096,22500.000,2687.236,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
outlined,0,bit,15,4096,64,87,1,4096,24083.000,4391.357,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
fail_stop,0,byte,15,4096,64,87,1,4096,24875.000,2680.735,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
fail_stop,0,bit,15,4096,64,87,1,4096,24000.000,4244.669,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
baseline,0,byte,15,4096,64,87,1,4096,17250.000,3199.707,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
