comparison,baseline_revision,candidate_revision,profile,records,prefix_bytes,observations_per_variant,baseline_min_ns,baseline_median_ns,baseline_max_ns,candidate_min_ns,candidate_median_ns,candidate_max_ns,change_percent
isolated_framing,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,819578c53e67c839eab3bc285f0dca2217262fbb,bit_fixed,16384,0,15,170.405,176.524,184.774,155.927,161.494,171.45,-8.514423
isolated_framing,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,819578c53e67c839eab3bc285f0dca2217262fbb,bit_variable,16384,0,15,208.511,213.793,223.297,198.987,209.208,216.09,-2.144598
isolated_framing,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,819578c53e67c839eab3bc285f0dca2217262fbb,byte_fixed,16384,64,15,91.583,95.548,101.079,83.87,88.852,94.61,-7.007996
isolated_framing,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,819578c53e67c839eab3bc285f0dca2217262fbb,byte_variable,16384,64,15,116.155,120.75,128.751,107.91,112.361,120.768,-6.947412
isolated_framing,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,819578c53e67c839eab3bc285f0dca2217262fbb,bit_fixed,16384,64,15,170.809,177.055,183.937,151.271,160.08,169.205,-9.587416
isolated_framing,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,819578c53e67c839eab3bc285f0dca2217262fbb,bit_variable,16384,64,15,209.424,215.324,223.757,202.105,209.231,215.541,-2.829689
isolated_framing,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,819578c53e67c839eab3bc285f0dca2217262fbb,byte_fixed,16384,4096,15,91.972,96.036,108.978,84.478,86.899,96.685,-9.514141
isolated_framing,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,819578c53e67c839eab3bc285f0dca2217262fbb,byte_variable,16384,4096,15,116.486,123.197,126.147,108.902,113.673,117.427,-7.730708
isolated_framing,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,819578c53e67c839eab3bc285f0dca2217262fbb,bit_fixed,16384,4096,15,170.926,179.176,187.986,155.899,163.612,175.395,-8.686431
isolated_framing,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,819578c53e67c839eab3bc285f0dca2217262fbb,bit_variable,16384,4096,15,209.279,217.092,225.634,200.556,206.495,217.445,-4.881341
integrated_final,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4429df0a8507705a9c4ccc0f6366344cf543f396,byte_fixed,16384,0,15,97.588,100.906,138.835,82.113,83.641,105.253,-17.109984
integrated_final,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4429df0a8507705a9c4ccc0f6366344cf543f396,byte_variable,16384,0,15,121.941,123.777,125.867,106.738,108.299,115.86,-12.504746
integrated_final,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4429df0a8507705a9c4ccc0f6366344cf543f396,bit_fixed,16384,0,15,195.869,198.364,207.937,154.971,157.323,163.404,-20.689742
integrated_final,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4429df0a8507705a9c4ccc0f6366344cf543f396,bit_variable,16384,0,15,236.198,239.904,241.709,197.212,200.643,205.94,-16.365296
integrated_final,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4429df0a8507705a9c4ccc0f6366344cf543f396,byte_fixed,16384,64,15,102.633,106.89,117.249,82.286,85.06,96.003,-20.422865
integrated_final,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4429df0a8507705a9c4ccc0f6366344cf543f396,byte_variable,16384,64,15,127.597,134.394,148.056,107.185,113.299,128.69,-15.696385
integrated_final,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4429df0a8507705a9c4ccc0f6366344cf543f396,bit_fixed,16384,64,15,201.658,210.083,227.331,154.887,161.385,184.944,-23.180362
integrated_final,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4429df0a8507705a9c4ccc0f6366344cf543f396,bit_variable,16384,64,15,242.188,263.059,276.187,197.591,206.662,221.992,-21.438917
integrated_final,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4429df0a8507705a9c4ccc0f6366344cf543f396,byte_fixed,16384,4096,15,420.636,432.32,447.497,83.252,85.111,96.069,-80.312963
