variant,revision,trial,profile,records,prefix_bytes,round,build_ns,record_ns,payload_bytes,wire_digest
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,byte_variable,16384,0,1,2101416.000,128.260,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,byte_variable,16384,0,2,2087916.000,127.436,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,bit_fixed,16384,0,0,3227416.000,196.986,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,bit_fixed,16384,0,1,3368125.000,205.574,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,bit_fixed,16384,0,2,3288291.000,200.701,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,bit_variable,16384,0,0,4045875.000,246.941,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,bit_variable,16384,0,1,4041708.000,246.686,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,bit_variable,16384,0,2,4096958.000,250.058,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,byte_fixed,16384,0,0,1671000.000,101.990,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,byte_fixed,16384,0,1,1626500.000,99.274,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,byte_fixed,16384,0,2,1741458.000,106.290,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,byte_variable,16384,0,0,2131459.000,130.094,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,byte_variable,16384,0,1,2092708.000,127.729,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,byte_variable,16384,0,2,2016709.000,123.090,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,bit_fixed,16384,0,0,3422625.000,208.900,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,bit_fixed,16384,0,1,3292875.000,200.981,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,bit_fixed,16384,0,2,3284250.000,200.455,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,bit_variable,16384,0,0,4011583.000,244.848,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,bit_variable,16384,0,1,3915542.000,238.986,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,bit_variable,16384,0,2,4008167.000,244.639,83038,15871665711279132660
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,2,byte_fixed,16384,0,0,1881166.000,114.817,181387,10403037783553420394
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,2,byte_fixed,16384,0,1,1840125.000,112.312,181387,10403037783553420394
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,2,byte_fixed,16384,0,2,1811750.000,110.580,181387,10403037783553420394
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,2,byte_variable,16384,0,0,2228583.000,136.022,328817,14631988329332027140
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,2,byte_variable,16384,0,1,2392834.000,146.047,328817,14631988329332027140
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,2,byte_variable,16384,0,2,2230916.000,136.164,328817,14631988329332027140
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,2,bit_fixed,16384,0,0,3241750.000,197.861,60153,8519433193016921614
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,2,bit_fixed,16384,0,1,3355125.000,204.781,60153,8519433193016921614
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,2,bit_fixed,16384,0,2,3078542.000,187.899,60153,8519433193016921614
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,2,bit_variable,16384,0,0,3769625.000,230.080,83038,15871665711279132660
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,2,bit_variable,16384,0,1,3734500.000,227.936,83038,15871665711279132660
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,2,bit_variable,16384,0,2,3743500.000,228.485,83038,15871665711279132660
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,3,byte_fixed,16384,0,0,1829250.000,111.649,181387,10403037783553420394
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,3,byte_fixed,16384,0,1,1864667.000,113.810,181387,10403037783553420394
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,3,byte_fixed,16384,0,2,1993750.000,121.689,181387,10403037783553420394
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,3,byte_variable,16384,0,0,2267083.000,138.372,328817,14631988329332027140
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,3,byte_variable,16384,0,1,2328667.000,142.131,328817,14631988329332027140
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,3,byte_variable,16384,0,2,2240917.000,136.775,328817,14631988329332027140
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,3,bit_fixed,16384,0,0,3221250.000,196.609,60153,8519433193016921614
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,3,bit_fixed,16384,0,1,3162583.000,193.029,60153,8519433193016921614
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,3,bit_fixed,16384,0,2,3272916.000,199.763,60153,8519433193016921614
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,3,bit_variable,16384,0,0,3955750.000,241.440,83038,15871665711279132660
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,3,bit_variable,16384,0,1,3865375.000,235.924,83038,15871665711279132660
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,3,bit_variable,16384,0,2,3859791.000,235.583,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,3,byte_fixed,16384,0,0,1657750.000,101.181,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,3,byte_fixed,16384,0,1,1677167.000,102.366,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,3,byte_fixed,16384,0,2,1727083.000,105.413,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,3,byte_variable,16384,0,0,2181875.000,133.171,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,3,byte_variable,16384,0,1,2180209.000,133.069,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,3,byte_variable,16384,0,2,2134208.000,130.262,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,3,bit_fixed,16384,0,0,3448000.000,210.449,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,3,bit_fixed,16384,0,1,3277375.000,200.035,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,3,bit_fixed,16384,0,2,3296709.000,201.215,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,3,bit_variable,16384,0,0,3918958.000,239.194,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,3,bit_variable,16384,0,1,4328041.000,264.163,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,3,bit_variable,16384,0,2,4168042.000,254.397,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4,byte_fixed,16384,0,0,1651125.000,100.777,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4,byte_fixed,16384,0,1,1637083.000,99.920,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4,byte_fixed,16384,0,2,1679417.000,102.503,181387,10403037783553420394
