variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,4096,0,3011083.000,735.128,16830212,511724354307186920,178990088,134250672,22438928,67294428,50471232,33645200,39
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,4096,0,2994500.000,731.079,16867068,6909849669356961042,178990088,134250672,22488069,67310811,50483520,33653392,39
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,4096,0,5072084.000,1238.302,16817531,3083272129566107382,178976184,134238258,22422329,33668288,25249024,16831224,41
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,0,4096,0,5228000.000,1276.367,16823252,13899531556974143969,178976184,134238258,22429957,33676487,25255168,16835320,42
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_fixed,ids,4096,0,4096,0,2685250.000,655.579,16830212,511724354307186920,178990088,134250672,22438928,67294092,50471040,33645200,39
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_variable,ids,4096,0,4096,0,2819167.000,688.273,16867068,6909849669356961042,178990088,134250672,22488069,67310475,50483328,33653392,39
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_fixed,ids,4096,0,4096,0,4839084.000,1181.417,16817531,3083272129566107382,178976184,134238258,22422329,33666800,25248256,16831224,41
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_variable,ids,4096,0,4096,0,4945458.000,1207.387,16823252,13899531556974143969,178976184,134238258,22429957,33674999,25254400,16835320,42
