records,key_bytes,distribution,query_kind,access,processes,byte_ns,bit_ns,byte_throughput_ratio,byte_min_ns,byte_max_ns,bit_min_ns,bit_max_ns,byte_process_ratio,bit_process_ratio,process_ranges,byte_file_bytes,bit_file_bytes,bit_space_saving_percent
524288,128,hash,miss,independent,3,4658.513,8984.884,1.9287021416490628,4362.712,5230.86,8587.657,9064.392,1.1989927366280422,1.055513977793943,byte_faster,121030056,122404168,-1.1353477354418384
524288,128,hash,mixed,dependent,3,4451.426,8536.733,1.9177524236053793,4070.841,4913.137,8446.243,8786.118,1.2069095796175777,1.0402397847184837,byte_faster,121030056,122404168,-1.1353477354418384
524288,128,hash,mixed,independent,3,4789.342,8531.052,1.7812576341384683,4197.032,4794.678,8440.104,8899.063,1.142397294087822,1.0543783583709396,byte_faster,121030056,122404168,-1.1353477354418384
8192,128,hash,hit,dependent,3,3189.005,6690.084,2.0978593636573164,3185.252,3255.58,6539.602,6693.181,1.0220792577792903,1.0234844566993526,byte_faster,1907728,1926400,-0.9787558813415753
8192,128,hash,hit,independent,3,3082.631,6429.586,2.085746234304398,3065.999,3099.579,6412.008,6433.67,1.0109523845245874,1.0033783488729273,byte_faster,1907728,1926400,-0.9787558813415753
8192,128,hash,miss,dependent,3,3186.874,6659.993,2.0898199928833083,3178.625,3201.625,6590.017,6669.464,1.0072358331039364,1.0120556593404844,byte_faster,1907728,1926400,-0.9787558813415753
8192,128,hash,miss,independent,3,3224.177,6664.53,2.0670484281725225,3170.192,3227.071,6555.461,6686.05,1.0179418155114894,1.0199206432621595,byte_faster,1907728,1926400,-0.9787558813415753
8192,128,hash,mixed,dependent,3,3213.862,6590.006,2.050494389615982,3113.139,3220.317,6532.705,6620.544,1.0344276307611064,1.013446038050088,byte_faster,1907728,1926400,-0.9787558813415753
8192,128,hash,mixed,independent,3,3086.665,6513.972,2.1103592388548806,3067.322,3128.983,6492.818,6526.505,1.0201025519981273,1.0051883481101733,byte_faster,1907728,1926400,-0.9787558813415753
8192,128,structured,hit,dependent,3,2969.264,6048.208,2.0369384466992493,2783.62,3023.865,5975.067,6195.231,1.0863066797910634,1.0368471181996788,byte_faster,428216,408032,4.7135090701888815
8192,128,structured,hit,independent,3,2721.893,5932.75,2.179641154152643,2690.226,2769.496,5889.704,5988.434,1.0294659259110572,1.0167631514249273,byte_faster,428216,408032,4.7135090701888815
8192,128,structured,miss,dependent,3,2793.625,6134.171,2.1957746655331336,2766.302,2833.145,6109.619,6222.341,1.0241633053802512,1.0184499229821042,byte_faster,428216,408032,4.7135090701888815
8192,128,structured,miss,independent,3,2789.012,6218.353,2.22958990495559,2786.631,2825.083,6214.798,6398.402,1.0137987412039844,1.029543035831575,byte_faster,428216,408032,4.7135090701888815
8192,128,structured,mixed,dependent,3,2816.661,6130.534,2.1765253255539094,2761.963,2893.789,6084.356,6204.763,1.0477290970226611,1.0197896046845385,byte_faster,428216,408032,4.7135090701888815
8192,128,structured,mixed,independent,3,2748.311,6107.198,2.222164085505607,2727.839,2772.247,6076.965,6141.027,1.0162795531554465,1.0105417753763597,byte_faster,428216,408032,4.7135090701888815
8192,16,hash,hit,dependent,3,2745.229,5839.534,2.1271573336869163,2709.757,2753.682,5795.909,5840.088,1.0162099405961493,1.0076224454179663,byte_faster,591496,595696,-0.7100639733827352
8192,16,hash,hit,independent,3,2725.601,5773.549,2.118266393356915,2705.17,2744.258,5728.495,5817.281,1.0144493691708838,1.0154990097748187,byte_faster,591496,595696,-0.7100639733827352
8192,16,hash,miss,dependent,3,2843.063,6010.895,2.1142320799785304,2829.478,2858.21,5988.881,6025.523,1.010154523201806,1.006118338300594,byte_faster,591496,595696,-0.7100639733827352
8192,16,hash,miss,independent,3,2844.828,6043.269,2.1243003091926824,2834.88,2865.016,5989.67,6103.165,1.0106304323287052,1.0189484562588589,byte_faster,591496,595696,-0.7100639733827352
8192,16,hash,mixed,dependent,3,2794.383,5851.771,2.0941191669144854,2777.008,2840.363,5848.862,5971.568,1.0228141222495577,1.0209794657490636,byte_faster,591496,595696,-0.7100639733827352
8192,16,hash,mixed,independent,3,2781.265,5857.661,2.106113944554007,2771.988,2790.415,5828.344,5946.65,1.006647575674931,1.0202983900744362,byte_faster,591496,595696,-0.7100639733827352
8192,16,structured,hit,dependent,3,2708.542,5748.026,2.1221845553807177,2696.838,2772.263,5685.974,5848.862,1.0279679387490088,1.0286473346518996,byte_faster,427096,406320,4.864480116882386
8192,16,structured,hit,independent,3,2667.684,5736.638,2.150418865202925,2647.273,2716.253,5725.774,5815.776,1.0260570028100615,1.0157187482425956,byte_faster,427096,406320,4.864480116882386
8192,16,structured,miss,dependent,3,2767.329,6015.986,2.1739323369212693,2753.428,2782.384,5992.91,6017.476,1.0105163454428443,1.0040991771943846,byte_faster,427096,406320,4.864480116882386
8192,16,structured,miss,independent,3,2751.607,6020.742,2.1880820916649797,2730.398,2774.073,5957.143,6024.078,1.0159958365044215,1.0112360908576479,byte_faster,427096,406320,4.864480116882386
8192,16,structured,mixed,dependent,3,2695.414,5859.98,2.174055636722225,2672.475,2707.993,5853.444,5866.262,1.0132903020608237,1.00218982192364,byte_faster,427096,406320,4.864480116882386
8192,16,structured,mixed,independent,3,2738.342,5927.292,2.1645550482737366,2707.718,2757.787,5867.986,5962.86,1.0184912165890243,1.0161680685673073,byte_faster,427096,406320,4.864480116882386
