workload,phase,trial,items,bits,loops,ns_per_item,checksum
counts/eg0-small,warmup,0,262144,2920226,4,8.56173038483,78258120
counts/eg0-small,timed,1,262144,2920226,4,8.51205921173,78258120
counts/eg0-small,timed,2,262144,2920226,4,8.67891311646,78258120
counts/eg0-small,timed,3,262144,2920226,4,8.55684280396,78258120
counts/eg0-small,timed,4,262144,2920226,4,8.62435531616,78258120
counts/eg0-small,timed,5,262144,2920226,4,8.51221847534,78258120
counts/eg0-wide,warmup,0,262144,16040710,4,16.1606464386,15953147329455257824
counts/eg0-wide,timed,1,262144,16040710,4,17.0323047638,15953147329455257824
counts/eg0-wide,timed,2,262144,16040710,4,16.8794794083,15953147329455257824
counts/eg0-wide,timed,3,262144,16040710,4,15.8195896149,15953147329455257824
counts/eg0-wide,timed,4,262144,16040710,4,16.3909988403,15953147329455257824
counts/eg0-wide,timed,5,262144,16040710,4,16.7843894958,15953147329455257824
counts/eg3,warmup,0,262144,3707062,4,12.7794342041,551372824
counts/eg3,timed,1,262144,3707062,4,12.9688978195,551372824
counts/eg3,timed,2,262144,3707062,4,13.1562147141,551372824
counts/eg3,timed,3,262144,3707062,4,13.2364835739,551372824
counts/eg3,timed,4,262144,3707062,4,13.1923751831,551372824
counts/eg3,timed,5,262144,3707062,4,12.9344072342,551372824
counts/g7,warmup,0,262144,3276422,4,15.1217374802,79682904
counts/g7,timed,1,262144,3276422,4,15.6500730515,79682904
counts/g7,timed,2,262144,3276422,4,15.2059793472,79682904
counts/g7,timed,3,262144,3276422,4,15.1621103287,79682904
counts/g7,timed,4,262144,3276422,4,15.4234972,79682904
counts/g7,timed,5,262144,3276422,4,15.2733726501,79682904
prefix-6/frames,warmup,0,32768,1217775,4,63.789680481,79915592608
prefix-6/frames,timed,1,32768,1217775,4,63.0372390747,79915592608
prefix-6/frames,timed,2,32768,1217775,4,62.8490447998,79915592608
prefix-6/frames,timed,3,32768,1217775,4,63.4384155273,79915592608
prefix-6/frames,timed,4,32768,1217775,4,63.577331543,79915592608
prefix-6/frames,timed,5,32768,1217775,4,62.7593994141,79915592608
prefix-6/cursor,warmup,0,32768,1217775,4,99.9584197998,62677496
prefix-6/cursor,timed,1,32768,1217775,4,101.222358704,62677496
prefix-6/cursor,timed,2,32768,1217775,4,101.06817627,62677496
prefix-6/cursor,timed,3,32768,1217775,4,101.508773804,62677496
prefix-6/cursor,timed,4,32768,1217775,4,105.41280365,62677496
prefix-6/cursor,timed,5,32768,1217775,4,102.213546753,62677496
prefix-6/records,warmup,0,32768,1221126,4,128.372512817,80064110448
prefix-6/records,timed,1,32768,1221126,4,131.716407776,80064110448
prefix-6/records,timed,2,32768,1221126,4,136.303901672,80064110448
prefix-6/records,timed,3,32768,1221126,4,131.209693909,80064110448
prefix-6/records,timed,4,32768,1221126,4,131.441429138,80064110448
prefix-6/records,timed,5,32768,1221126,4,139.969192505,80064110448
prefix-6/merge-disjoint,warmup,0,32768,1284592,2,360.344573975,2501318
prefix-6/merge-disjoint,timed,1,32768,1284592,2,362.323760986,2501318
prefix-6/merge-disjoint,timed,2,32768,1284592,2,356.377288818,2501318
prefix-6/merge-disjoint,timed,3,32768,1284592,2,360.920578003,2501318
prefix-6/merge-disjoint,timed,4,32768,1284592,2,354.885101318,2501318
prefix-6/merge-disjoint,timed,5,32768,1284592,2,356.370285034,2501318
prefix-6/merge-overlap,warmup,0,32768,1862418,2,405.415847778,2501318
prefix-6/merge-overlap,timed,1,32768,1862418,2,396.473556519,2501318
prefix-6/merge-overlap,timed,2,32768,1862418,2,394.790023804,2501318
prefix-6/merge-overlap,timed,3,32768,1862418,2,394.128158569,2501318
prefix-6/merge-overlap,timed,4,32768,1862418,2,403.796508789,2501318
prefix-6/merge-overlap,timed,5,32768,1862418,2,400.659561157,2501318
prefix-512/frames,warmup,0,32768,63803583,4,63.5258331299,4190486745848
prefix-512/frames,timed,1,32768,63803583,4,66.276550293,4190486745848
prefix-512/frames,timed,2,32768,63803583,4,63.6348724365,4190486745848
prefix-512/frames,timed,3,32768,63803583,4,62.2402877808,4190486745848
prefix-512/frames,timed,4,32768,63803583,4,62.4732971191,4190486745848
prefix-512/frames,timed,5,32768,63803583,4,66.1404876709,4190486745848
prefix-512/cursor,warmup,0,32768,63803583,4,104.104995728,313020728
prefix-512/cursor,timed,1,32768,63803583,4,98.6258239746,313020728
prefix-512/cursor,timed,2,32768,63803583,4,97.8730545044,313020728
prefix-512/cursor,timed,3,32768,63803583,4,97.6057052612,313020728
prefix-512/cursor,timed,4,32768,63803583,4,100.323989868,313020728
prefix-512/cursor,timed,5,32768,63803583,4,97.651802063,313020728
prefix-512/records,warmup,0,32768,63806934,4,217.344604492,4190418264352
prefix-512/records,timed,1,32768,63806934,4,216.739341736,4190418264352
prefix-512/records,timed,2,32768,63806934,4,216.396331787,4190418264352
prefix-512/records,timed,3,32768,63806934,4,217.607177734,4190418264352
prefix-512/records,timed,4,32768,63806934,4,214.270271301,4190418264352
prefix-512/records,timed,5,32768,63806934,4,216.467224121,4190418264352
prefix-512/merge-disjoint,warmup,0,32768,63870400,2,386.336639404,127673114
prefix-512/merge-disjoint,timed,1,32768,63870400,2,395.587921143,127673114
prefix-512/merge-disjoint,timed,2,32768,63870400,2,393.971755981,127673114
prefix-512/merge-disjoint,timed,3,32768,63870400,2,395.861312866,127673114
prefix-512/merge-disjoint,timed,4,32768,63870400,2,397.202163696,127673114
prefix-512/merge-disjoint,timed,5,32768,63870400,2,402.027755737,127673114
prefix-512/merge-overlap,warmup,0,32768,95829700,2,422.993331909,127673114
prefix-512/merge-overlap,timed,1,32768,95829700,2,425.19569397,127673114
prefix-512/merge-overlap,timed,2,32768,95829700,2,424.611419678,127673114
prefix-512/merge-overlap,timed,3,32768,95829700,2,419.993087769,127673114
prefix-512/merge-overlap,timed,4,32768,95829700,2,455.38458252,127673114
prefix-512/merge-overlap,timed,5,32768,95829700,2,420.783355713,127673114
hash-6/frames,warmup,0,32768,5471471,4,63.9600753784,358780393908
hash-6/frames,timed,1,32768,5471471,4,64.7528915405,358780393908
hash-6/frames,timed,2,32768,5471471,4,64.3561630249,358780393908
hash-6/frames,timed,3,32768,5471471,4,64.4102096558,358780393908
hash-6/frames,timed,4,32768,5471471,4,65.7993927002,358780393908
hash-6/frames,timed,5,32768,5471471,4,64.2639770508,358780393908
hash-6/cursor,warmup,0,32768,5471471,4,132.855735779,28789848
hash-6/cursor,timed,1,32768,5471471,4,133.664451599,28789848
hash-6/cursor,timed,2,32768,5471471,4,134.201683044,28789848
hash-6/cursor,timed,3,32768,5471471,4,131.980262756,28789848
hash-6/cursor,timed,4,32768,5471471,4,133.457817078,28789848
hash-6/cursor,timed,5,32768,5471471,4,131.330810547,28789848
hash-6/records,warmup,0,32768,5514916,4,114.775978088,361637822352
hash-6/records,timed,1,32768,5514916,4,116.428375244,361637822352
hash-6/records,timed,2,32768,5514916,4,116.619430542,361637822352
hash-6/records,timed,3,32768,5514916,4,117.950439453,361637822352
hash-6/records,timed,4,32768,5514916,4,119.01537323,361637822352
hash-6/records,timed,5,32768,5514916,4,116.310440063,361637822352
hash-6/merge-disjoint,warmup,0,32768,5517418,2,387.914657593,11008518
hash-6/merge-disjoint,timed,1,32768,5517418,2,402.745559692,11008518
hash-6/merge-disjoint,timed,2,32768,5517418,2,404.275253296,11008518
hash-6/merge-disjoint,timed,3,32768,5517418,2,385.849624634,11008518
hash-6/merge-disjoint,timed,4,32768,5517418,2,390.798568726,11008518
hash-6/merge-disjoint,timed,5,32768,5517418,2,415.891021729,11008518
hash-6/merge-overlap,warmup,0,32768,8232098,2,430.370956421,11008518
hash-6/merge-overlap,timed,1,32768,8232098,2,421.264648438,11008518
hash-6/merge-overlap,timed,2,32768,8232098,2,413.522079468,11008518
hash-6/merge-overlap,timed,3,32768,8232098,2,421.202331543,11008518
hash-6/merge-overlap,timed,4,32768,8232098,2,417.714431763,11008518
hash-6/merge-overlap,timed,5,32768,8232098,2,414.082839966,11008518
hash-512/frames,warmup,0,32768,68057279,4,64.5586700439,4447512945652
hash-512/frames,timed,1,32768,68057279,4,63.2718353271,4447512945652
hash-512/frames,timed,2,32768,68057279,4,63.8688354492,4447512945652
hash-512/frames,timed,3,32768,68057279,4,63.289642334,4447512945652
