workload,phase,trial,items,bits,loops,ns_per_item,checksum
counts/eg0-small,warmup,0,262144,2920226,4,10.3448629379,78258120
counts/eg0-small,timed,1,262144,2920226,4,10.6513900757,78258120
counts/eg0-small,timed,2,262144,2920226,4,10.4821519852,78258120
counts/eg0-small,timed,3,262144,2920226,4,10.4353427887,78258120
counts/eg0-small,timed,4,262144,2920226,4,10.5602340698,78258120
counts/eg0-small,timed,5,262144,2920226,4,10.572473526,78258120
counts/eg0-wide,warmup,0,262144,16040710,4,17.8759098053,15953147329455257824
counts/eg0-wide,timed,1,262144,16040710,4,17.988404274,15953147329455257824
counts/eg0-wide,timed,2,262144,16040710,4,17.7110824585,15953147329455257824
counts/eg0-wide,timed,3,262144,16040710,4,17.2517299652,15953147329455257824
counts/eg0-wide,timed,4,262144,16040710,4,17.0358419418,15953147329455257824
counts/eg0-wide,timed,5,262144,16040710,4,16.6895389557,15953147329455257824
counts/eg3,warmup,0,262144,3707062,4,15.8689022064,551372824
counts/eg3,timed,1,262144,3707062,4,15.9601373672,551372824
counts/eg3,timed,2,262144,3707062,4,16.2083311081,551372824
counts/eg3,timed,3,262144,3707062,4,15.7852172852,551372824
counts/eg3,timed,4,262144,3707062,4,16.5155735016,551372824
counts/eg3,timed,5,262144,3707062,4,17.0345697403,551372824
counts/g7,warmup,0,262144,3276422,4,14.8912668228,79682904
counts/g7,timed,1,262144,3276422,4,15.0192584991,79682904
counts/g7,timed,2,262144,3276422,4,14.8954792023,79682904
counts/g7,timed,3,262144,3276422,4,15.0652732849,79682904
counts/g7,timed,4,262144,3276422,4,15.0994853973,79682904
counts/g7,timed,5,262144,3276422,4,15.5590772629,79682904
prefix-6/frames,warmup,0,32768,1217775,4,68.5955657959,79915592608
prefix-6/frames,timed,1,32768,1217775,4,67.2432632446,79915592608
prefix-6/frames,timed,2,32768,1217775,4,67.0976638794,79915592608
prefix-6/frames,timed,3,32768,1217775,4,70.246383667,79915592608
prefix-6/frames,timed,4,32768,1217775,4,67.7665100098,79915592608
prefix-6/frames,timed,5,32768,1217775,4,68.8460693359,79915592608
prefix-6/cursor,warmup,0,32768,1217775,4,106.834732056,62677496
prefix-6/cursor,timed,1,32768,1217775,4,105.640098572,62677496
prefix-6/cursor,timed,2,32768,1217775,4,107.959106445,62677496
prefix-6/cursor,timed,3,32768,1217775,4,104.409217834,62677496
prefix-6/cursor,timed,4,32768,1217775,4,103.303588867,62677496
prefix-6/cursor,timed,5,32768,1217775,4,104.4715271,62677496
prefix-6/records,warmup,0,32768,1221126,4,137.708023071,80064110448
prefix-6/records,timed,1,32768,1221126,4,138.28817749,80064110448
prefix-6/records,timed,2,32768,1221126,4,136.812843323,80064110448
prefix-6/records,timed,3,32768,1221126,4,137.283325195,80064110448
prefix-6/records,timed,4,32768,1221126,4,134.867347717,80064110448
prefix-6/records,timed,5,32768,1221126,4,138.198852539,80064110448
prefix-6/merge-disjoint,warmup,0,32768,1284592,2,337.795257568,2501318
prefix-6/merge-disjoint,timed,1,32768,1284592,2,351.053237915,2501318
prefix-6/merge-disjoint,timed,2,32768,1284592,2,348.957061768,2501318
prefix-6/merge-disjoint,timed,3,32768,1284592,2,355.625152588,2501318
prefix-6/merge-disjoint,timed,4,32768,1284592,2,354.722976685,2501318
prefix-6/merge-disjoint,timed,5,32768,1284592,2,350.927352905,2501318
prefix-6/merge-overlap,warmup,0,32768,1862418,2,384.602859497,2501318
prefix-6/merge-overlap,timed,1,32768,1862418,2,416.788101196,2501318
prefix-6/merge-overlap,timed,2,32768,1862418,2,387.187957764,2501318
prefix-6/merge-overlap,timed,3,32768,1862418,2,376.502990723,2501318
prefix-6/merge-overlap,timed,4,32768,1862418,2,369.179412842,2501318
prefix-6/merge-overlap,timed,5,32768,1862418,2,373.706192017,2501318
prefix-512/frames,warmup,0,32768,63803583,4,78.4257202148,4190486745848
prefix-512/frames,timed,1,32768,63803583,4,78.7499771118,4190486745848
prefix-512/frames,timed,2,32768,63803583,4,77.7145996094,4190486745848
prefix-512/frames,timed,3,32768,63803583,4,78.2121047974,4190486745848
prefix-512/frames,timed,4,32768,63803583,4,81.1866149902,4190486745848
prefix-512/frames,timed,5,32768,63803583,4,78.6066055298,4190486745848
prefix-512/cursor,warmup,0,32768,63803583,4,114.016853333,313020728
prefix-512/cursor,timed,1,32768,63803583,4,113.118812561,313020728
prefix-512/cursor,timed,2,32768,63803583,4,113.188102722,313020728
prefix-512/cursor,timed,3,32768,63803583,4,113.962806702,313020728
prefix-512/cursor,timed,4,32768,63803583,4,114.565849304,313020728
prefix-512/cursor,timed,5,32768,63803583,4,114.071525574,313020728
prefix-512/records,warmup,0,32768,63806934,4,242.734909058,4190418264352
prefix-512/records,timed,1,32768,63806934,4,242.707885742,4190418264352
prefix-512/records,timed,2,32768,63806934,4,241.891860962,4190418264352
prefix-512/records,timed,3,32768,63806934,4,245.157241821,4190418264352
prefix-512/records,timed,4,32768,63806934,4,245.572410583,4190418264352
prefix-512/records,timed,5,32768,63806934,4,250.105857849,4190418264352
prefix-512/merge-disjoint,warmup,0,32768,63870400,2,434.150054932,127673114
prefix-512/merge-disjoint,timed,1,32768,63870400,2,432.435348511,127673114
prefix-512/merge-disjoint,timed,2,32768,63870400,2,434.398651123,127673114
prefix-512/merge-disjoint,timed,3,32768,63870400,2,432.571411133,127673114
prefix-512/merge-disjoint,timed,4,32768,63870400,2,429.698303223,127673114
prefix-512/merge-disjoint,timed,5,32768,63870400,2,437.26348877,127673114
prefix-512/merge-overlap,warmup,0,32768,95829700,2,460.905075073,127673114
prefix-512/merge-overlap,timed,1,32768,95829700,2,461.622238159,127673114
prefix-512/merge-overlap,timed,2,32768,95829700,2,453.632354736,127673114
prefix-512/merge-overlap,timed,3,32768,95829700,2,473.420455933,127673114
prefix-512/merge-overlap,timed,4,32768,95829700,2,479.602172852,127673114
prefix-512/merge-overlap,timed,5,32768,95829700,2,468.591064453,127673114
hash-6/frames,warmup,0,32768,5471471,4,72.8238372803,358780393908
hash-6/frames,timed,1,32768,5471471,4,69.7838516235,358780393908
hash-6/frames,timed,2,32768,5471471,4,72.5876464844,358780393908
hash-6/frames,timed,3,32768,5471471,4,69.920539856,358780393908
hash-6/frames,timed,4,32768,5471471,4,76.3597488403,358780393908
hash-6/frames,timed,5,32768,5471471,4,81.6186294556,358780393908
hash-6/cursor,warmup,0,32768,5471471,4,148.808799744,28789848
hash-6/cursor,timed,1,32768,5471471,4,140.833854675,28789848
hash-6/cursor,timed,2,32768,5471471,4,136.979103088,28789848
hash-6/cursor,timed,3,32768,5471471,4,141.371414185,28789848
hash-6/cursor,timed,4,32768,5471471,4,134.707771301,28789848
hash-6/cursor,timed,5,32768,5471471,4,135.667160034,28789848
hash-6/records,warmup,0,32768,5514916,4,132.360137939,361637822352
hash-6/records,timed,1,32768,5514916,4,125.846862793,361637822352
hash-6/records,timed,2,32768,5514916,4,127.266571045,361637822352
hash-6/records,timed,3,32768,5514916,4,125.946678162,361637822352
hash-6/records,timed,4,32768,5514916,4,126.730278015,361637822352
hash-6/records,timed,5,32768,5514916,4,128.809608459,361637822352
hash-6/merge-disjoint,warmup,0,32768,5517418,2,374.965026855,11008518
hash-6/merge-disjoint,timed,1,32768,5517418,2,369.3072052,11008518
hash-6/merge-disjoint,timed,2,32768,5517418,2,368.670135498,11008518
hash-6/merge-disjoint,timed,3,32768,5517418,2,365.79196167,11008518
hash-6/merge-disjoint,timed,4,32768,5517418,2,370.520904541,11008518
hash-6/merge-disjoint,timed,5,32768,5517418,2,365.423843384,11008518
hash-6/merge-overlap,warmup,0,32768,8232098,2,419.731781006,11008518
hash-6/merge-overlap,timed,1,32768,8232098,2,413.536071777,11008518
hash-6/merge-overlap,timed,2,32768,8232098,2,412.509277344,11008518
hash-6/merge-overlap,timed,3,32768,8232098,2,416.023895264,11008518
hash-6/merge-overlap,timed,4,32768,8232098,2,412.036895752,11008518
hash-6/merge-overlap,timed,5,32768,8232098,2,439.227416992,11008518
hash-512/frames,warmup,0,32768,68057279,4,86.9642868042,4447512945652
hash-512/frames,timed,1,32768,68057279,4,79.9468383789,4447512945652
hash-512/frames,timed,2,32768,68057279,4,81.823348999,4447512945652
hash-512/frames,timed,3,32768,68057279,4,83.1712036133,4447512945652
hash-512/frames,timed,4,32768,68057279,4,76.6213760376,4447512945652
hash-512/frames,timed,5,32768,68057279,4,76.7936706543,4447512945652
hash-512/cursor,warmup,0,32768,68057279,4,145.71698761,279133080
hash-512/cursor,timed,1,32768,68057279,4,146.08732605,279133080
hash-512/cursor,timed,2,32768,68057279,4,145.135246277,279133080
