trial,variant,operation,bits,source_offset,iterations,ns,checksum,encoding
0,candidate,read_count,32,0,129055,7.24626,292137550098970,15992147686396580461
0,candidate,write_count,32,0,129055,13.9711,7873361,17611553731688309647
0,candidate,read_count,32,3,129055,7.50196,292137550098970,9259898799459493243
0,candidate,write_count,32,3,129055,14.8264,7873364,12531968474777650863
0,candidate,read_count,64,0,65027,4.47699,12932659232303659454,13903021642346100837
0,candidate,write_count,64,0,65027,19.7456,8142099,14472678928554734552
0,candidate,read_count,64,3,65027,4.38024,12932659232303659454,17979108500666303179
0,candidate,write_count,64,3,65027,19.3426,8142102,11837154818368746539
0,candidate,byte_profile_build,64,0,85,38566.7,748425,11286371320756095183
0,candidate,byte_profile_reconstruct,64,0,87381,1414.69,11160646,11286371320756095183
0,candidate,bit_profile_build,64,0,85,64763.7,610810,10385998864525922025
0,candidate,bit_profile_reconstruct,64,0,87381,4199.93,5586176,10385998864525922025
0,candidate,byte_profile_build,1024,0,7,47434.6,62748,11996937336128258274
0,candidate,byte_profile_reconstruct,1024,0,7943,12763.3,1012034,11996937336128258274
0,candidate,bit_profile_build,1024,0,7,64470.3,51303,8959399144852600447
0,candidate,bit_profile_reconstruct,1024,0,7943,41716.1,514304,8959399144852600447
1,candidate,order_and_lcp,64,0,131072,7.77849,8339456,0
1,candidate,order_and_lcp_early,64,0,131072,3.67641,131072,0
1,candidate,copy_to_aligned,64,0,131072,2.66361,14951330,10612444265752500643
1,candidate,copy_to_shifted,64,0,131072,26.8269,18885030,16857641075921078406
1,candidate,front_order_and_lcp,64,0,131072,2.06184,999424,0
1,candidate,order_and_lcp,65,3,129055,15.8763,8388576,0
1,candidate,order_and_lcp_early,65,3,129055,3.85204,129056,0
1,candidate,copy_to_aligned,65,3,129055,5.88476,15298147,1059025378906581750
1,candidate,copy_to_shifted,65,3,129055,10.0438,15909312,14652123482455320431
1,candidate,order_and_lcp,512,0,16384,10.2946,8386560,0
1,candidate,order_and_lcp_early,512,0,32768,3.67737,32768,0
1,candidate,copy_to_aligned,512,0,16384,3.29846,2040894,7487872683394423460
1,candidate,copy_to_shifted,512,0,16384,33.3608,2151827,5695700198866017487
1,candidate,front_order_and_lcp,512,0,16384,5.88226,1046528,0
1,candidate,order_and_lcp,513,3,16352,53.7371,8384488,0
1,candidate,order_and_lcp_early,513,3,32768,3.6799,32768,0
1,candidate,copy_to_aligned,513,3,16352,12.5928,2033532,13549540094830414013
1,candidate,copy_to_shifted,513,3,16352,11.5735,2025212,1277971867292287276
1,candidate,order_and_lcp,32768,0,512,242.188,16777216,0
1,candidate,order_and_lcp_early,32768,0,32768,3.67609,32768,0
1,candidate,copy_to_aligned,32768,0,512,50.6992,65095,15697443229824947228
1,candidate,copy_to_shifted,32768,0,512,504.314,70873,1340222264216771497
1,candidate,front_order_and_lcp,32768,0,512,243.326,2097152,0
1,candidate,order_and_lcp,32769,3,512,2830.97,16777728,0
1,candidate,order_and_lcp_early,32769,3,32768,4.02832,32768,0
1,candidate,copy_to_aligned,32769,3,512,479.248,64572,810501865908961312
1,candidate,copy_to_shifted,32769,3,512,56.6406,64487,17401643773666152548
1,candidate,read_count,4,0,932067,4.32886,6495309,14010549057497394684
1,candidate,write_count,4,0,932067,5.35825,5250149,498868200249582186
1,candidate,read_count,4,3,932067,4.39574,6495309,10667692899381957720
1,candidate,write_count,4,3,932067,5.27707,5250152,14011927138326259588
1,candidate,read_count,32,0,129055,6.22667,292137550098970,15992147686396580461
1,candidate,write_count,32,0,129055,13.0903,7873361,17611553731688309647
1,candidate,read_count,32,3,129055,6.53016,292137550098970,9259898799459493243
1,candidate,write_count,32,3,129055,13.0613,7873364,12531968474777650863
1,candidate,read_count,64,0,65027,4.26746,12932659232303659454,13903021642346100837
1,candidate,write_count,64,0,65027,19.6053,8142099,14472678928554734552
1,candidate,read_count,64,3,65027,4.13611,12932659232303659454,17979108500666303179
1,candidate,write_count,64,3,65027,19.4721,8142102,11837154818368746539
1,candidate,byte_profile_build,64,0,85,37207.8,748425,11286371320756095183
1,candidate,byte_profile_reconstruct,64,0,87381,1404.41,11160646,11286371320756095183
1,candidate,bit_profile_build,64,0,85,60479.9,610810,10385998864525922025
1,candidate,bit_profile_reconstruct,64,0,87381,4136.84,5586176,10385998864525922025
1,candidate,byte_profile_build,1024,0,7,45339.3,62748,11996937336128258274
1,candidate,byte_profile_reconstruct,1024,0,7943,12767.4,1012034,11996937336128258274
1,candidate,bit_profile_build,1024,0,7,69964.3,51303,8959399144852600447
1,candidate,bit_profile_reconstruct,1024,0,7943,41673.1,514304,8959399144852600447
1,baseline,order_and_lcp,64,0,131072,14.7924,8339456,0
1,baseline,order_and_lcp_early,64,0,131072,2.95353,131072,0
1,baseline,copy_to_aligned,64,0,131072,2.642,14951330,10612444265752500643
1,baseline,copy_to_shifted,64,0,131072,83.367,18885030,16857641075921078406
1,baseline,front_order_and_lcp,64,0,131072,6.19698,999424,0
1,baseline,order_and_lcp,65,3,129055,123.176,8388576,0
1,baseline,order_and_lcp_early,65,3,129055,3.39262,129056,0
1,baseline,copy_to_aligned,65,3,129055,83.8154,15298147,1059025378906581750
1,baseline,copy_to_shifted,65,3,129055,83.5564,15909312,14652123482455320431
1,baseline,order_and_lcp,512,0,16384,69.8344,8386560,0
