profile,records,key_bytes,access,variant,process,minimum_ns,median_ns,maximum_ns,max_min_ratio,status
typed-byte,2097152,16,sorted,packed,0,3353.723,3486.685,3719.069,1.1089374405697787,diagnostic_high_variability
typed-byte,2097152,16,sorted,packed,1,3336.28,3347.638,3356.88,1.0061745417051327,diagnostic_high_variability
typed-byte,2097152,16,sorted,sub32,0,3547.642,3602.35,3756.789,1.058953806500205,diagnostic_high_variability
typed-byte,2097152,16,sorted,sub32,1,3569.962,3575.08,3599.173,1.0081824400371768,diagnostic_high_variability
typed-byte,32768,16,random,base,0,3070.633,3075.743,3165.919,1.0310313866880216,retained_small_size_panel
typed-byte,32768,16,random,base,1,3023.204,3024.105,3043.035,1.006559597036786,retained_small_size_panel
typed-byte,32768,16,random,direct32,0,2758.432,2799.492,2810.373,1.018829900465192,retained_small_size_panel
typed-byte,32768,16,random,direct32,1,2739.808,2744.684,2759.607,1.00722641878555,retained_small_size_panel
typed-byte,32768,16,random,direct64,0,2766.293,2783.161,2897.737,1.0475162970806058,retained_small_size_panel
typed-byte,32768,16,random,direct64,1,2805.514,2823.653,2826.524,1.0074888237948554,retained_small_size_panel
typed-byte,32768,16,random,packed,0,2884.593,2905.115,2905.626,1.0072914965820137,retained_small_size_panel
typed-byte,32768,16,random,packed,1,2770.439,2828.314,2833.781,1.0228635245172335,retained_small_size_panel
typed-byte,32768,16,random,sub32,0,3077.179,3081.587,3131.317,1.0175933866700637,retained_small_size_panel
typed-byte,32768,16,random,sub32,1,2998.872,3002.324,3019.473,1.0068695829631942,retained_small_size_panel
typed-byte,32768,16,sorted,base,0,2837.939,2838.966,2865.84,1.0098314304852924,retained_small_size_panel
typed-byte,32768,16,sorted,base,1,2770.471,2807.311,2818.073,1.0171819159991207,retained_small_size_panel
typed-byte,32768,16,sorted,direct32,0,2535.24,2555.257,2566.858,1.0124714031018762,retained_small_size_panel
typed-byte,32768,16,sorted,direct32,1,2522.902,2562.552,2597.473,1.0295576284770473,retained_small_size_panel
typed-byte,32768,16,sorted,direct64,0,2594.813,2603.943,2609.8,1.0057757533972582,retained_small_size_panel
typed-byte,32768,16,sorted,direct64,1,2489.68,2548.906,2576.34,1.034807686128338,retained_small_size_panel
typed-byte,32768,16,sorted,packed,0,2592.866,2600.081,2626.52,1.0129794597946828,retained_small_size_panel
typed-byte,32768,16,sorted,packed,1,2587.433,2600.662,2670.583,1.0321360978235958,retained_small_size_panel
typed-byte,32768,16,sorted,sub32,0,2833.775,2860.228,2873.203,1.0139135958218277,retained_small_size_panel
typed-byte,32768,16,sorted,sub32,1,2811.699,2819.589,2830.756,1.0067777525261417,retained_small_size_panel
typed-byte,524288,16,random,base,0,5858.823,8086.734,8184.05,1.396876130239811,diagnostic_high_variability
