case,layout,value_tile_words,older,newer,canceled,output_records,payload_bytes,file_bytes,sparse_entries,cpu_ms,gpu_total_ms,gpu_device_ms,fixture_encode_ms,map_import_ms,clip_ms,repeats,cpu_min_ms,cpu_max_ms,gpu_min_ms,gpu_max_ms,cpu_forward_ms,cpu_forward_min_ms,cpu_forward_max_ms
balanced-65536-0,fv,4,65536,65536,0,131072,33554202,35823672,0,9.56458,3.77279,2.63304,5.34604,4.67783,1.30742,5,9.47746,9.66575,2.94537,4.16137,3.68446,3.61692,3.95925
balanced-65536-50,fv,4,65536,65536,32768,98304,25166411,26868592,0,6.31375,2.48683,1.27613,5.63675,5.58196,1.13504,5,5.94167,6.58537,2.46738,4.59,2.64929,2.44442,2.78463
balanced-65536-90,fv,4,65536,65536,58982,72090,18455330,19703664,0,4.73317,2.35779,1.04617,3.47975,4.85292,1.27808,5,4.64221,5.09271,2.12471,2.39279,1.88908,1.856,2.16196
balanced-131072-0,fv,4,131072,131072,0,262144,67107712,71646360,0,19.4284,4.70258,3.64712,10.7922,8.97933,1.33204,5,18.5256,19.5533,4.17312,7.32525,7.13737,6.94613,7.21788
balanced-131072-50,fv,4,131072,131072,65536,196608,50330934,53734992,0,12.5037,3.68508,2.18837,11.2171,9.50996,1.38675,5,12.3163,12.5628,3.21462,6.34704,5.24979,5.07771,5.71563
balanced-131072-90,fv,4,131072,131072,117964,144180,36909327,39405720,0,9.55663,2.95892,1.68454,6.55171,8.22321,1.00571,5,9.48475,9.71579,2.66237,3.43688,3.92571,3.88642,3.95096
balanced-262144-0,fv,4,262144,262144,0,524288,134217273,143294296,0,37.6413,6.13233,5.02371,21.033,17.0513,2.05863,5,36.891,38.1075,4.7095,7.11558,14.2682,13.8055,14.4975
balanced-262144-50,fv,4,262144,262144,131072,393216,100663550,107471392,0,23.168,5.29679,3.7965,22.7162,29.1632,1.68921,5,23.1315,23.4945,3.505,7.87633,9.94125,9.66183,9.96204
balanced-262144-90,fv,4,262144,262144,235929,288359,73819893,78812384,0,17.0459,4.31646,2.87433,12.7137,16.9728,1.54412,5,16.9226,17.3519,4.2205,7.32433,7.30738,7.24967,7.39725
skew-262144,ff,1,262144,4096,131072,135168,2162688,4325632,0,1.13225,1.51067,0.3225,2.29663,6.55025,0.920833,5,1.06558,1.14946,1.10337,2.73533,1.10521,1.09204,1.22525
skew-4096,ff,1,4096,262144,2048,264192,4227072,8454400,0,1.78713,1.57725,0.442125,2.18087,2.16625,0.482459,5,1.71858,1.83867,1.04358,1.71271,1.69917,1.63979,1.87912
skew-262144,fv,4,262144,4096,131072,135168,34603433,36943824,0,7.95867,2.86654,1.68125,5.88896,9.50454,1.18854,5,7.73262,8.16396,2.59837,6.08883,3.40342,3.27025,3.62254
skew-4096,fv,4,4096,262144,2048,264192,67632560,72206664,0,15.6049,4.68846,3.33479,6.30996,11.6221,1.43446,5,15.303,15.9124,4.14783,7.03117,6.10242,6.02221,6.29942
scattered-262144,ff,1,262144,262144,131072,393216,6291456,12583168,0,3.32854,2.15904,0.915708,5.25713,24.0516,1.04842,5,3.21246,3.78142,1.99225,4.10862,3.29996,3.22087,3.48304
scattered-262144,fv,4,262144,262144,131072,393216,100661832,107469664,0,33.0315,6.52017,4.8585,12.5123,20.0133,1.94333,5,32.7596,33.6399,6.01508,9.11021,13.4643,12.8028,13.6073
tiny-4096-0,fv,4,4096,4096,0,8192,24578,160040,0,0.349167,1.51438,0.476333,0.082,7.54708,0.513625,5,0.316458,0.355291,1.06475,3.89087,0.122958,0.1195,0.125667
tiny-4096-50,fv,4,4096,4096,2048,6144,18435,120104,0,0.240208,1.07675,0.421792,0.081167,0.52175,0.562833,5,0.208875,0.255667,0.9975,4.19421,0.094125,0.089166,0.125166
