case,trial,older,newer,output_records,input_a_bytes,input_b_bytes,output_bytes,common_value_bytes,cpu_width_pass,cpu_ms,gpu_complete_ms,gpu_device_ms,parse_ms,order_ms,size_ms,emit_ms,assembly_ms
fixed-4096,-1,4096,4096,6839,82536,82536,137568,17,0,0.64345799999999997,5.5059579999999997,1.2745000422000885,3.2415829999999999,1.3127500000000001,0.26466699999999999,0.26045800000000002,0.38337500000000002
fixed-4096,0,4096,4096,6839,82536,82536,137568,17,0,0.69174999999999998,3.4204159999999999,1.2687083217315376,0.60524999999999995,1.015917,0.56487500000000002,0.52975000000000005,0.66883399999999993
fixed-4096,1,4096,4096,6839,82536,82536,137568,17,0,0.80262500000000003,3.0576669999999999,1.2988750240765512,0.85912500000000003,1.388333,0.25233299999999997,0.246333,0.28208299999999997
fixed-4096,2,4096,4096,6839,82536,82536,137568,17,0,0.55254199999999998,3.655875,1.2691249721683562,0.84450000000000003,0.99483299999999997,0.59766699999999995,0.53545900000000002,0.65095899999999995
fixed-4096,3,4096,4096,6839,82536,82536,137568,17,0,0.63491699999999995,3.1550410000000002,1.2536667636595666,0.88008299999999995,1.3018749999999999,0.29108400000000001,0.26537500000000003,0.37654199999999999
fixed-4096,4,4096,4096,6839,82536,82536,137568,17,0,0.54591599999999996,2.6018340000000002,1.2524583144113421,0.82004200000000005,1.0040420000000001,0.23583399999999999,0.23916699999999999,0.27300000000000002
variable-4096,-1,4096,4096,6839,976248,977320,1631720,0,0,1.199166,2.2824589999999998,0.50816673319786787,0.78233299999999995,0.51729099999999995,0.23591699999999999,0.314917,0.39125100000000002
variable-4096,0,4096,4096,6839,976248,977320,1631720,0,0,0.93029200000000001,3.071625,1.5162499621510506,0.95116699999999998,1.0183340000000001,0.265125,0.44404199999999999,0.360292
variable-4096,1,4096,4096,6839,976248,977320,1631720,0,0,1.178166,2.9948329999999999,1.4616666594520211,0.90629199999999999,1.0160830000000001,0.24775,0.44454100000000002,0.34650000000000003
variable-4096,2,4096,4096,6839,976248,977320,1631720,0,0,1.0455840000000001,3.474917,1.4767498942092061,0.93383300000000002,1.3887080000000001,0.26229200000000003,0.46995900000000002,0.387291
variable-4096,3,4096,4096,6839,976248,977320,1631720,0,0,1.0065,2.8315000000000001,1.4697500737383962,0.72262499999999996,1.0109170000000001,0.25633299999999998,0.441917,0.36266699999999996
variable-4096,4,4096,4096,6839,976248,977320,1631720,0,0,1.187208,2.7804160000000002,1.4731666306033731,0.69670799999999999,0.984958,0.236125,0.455708,0.372583
