case,trial,older,newer,output_records,input_a_bytes,input_b_bytes,output_bytes,common_value_bytes,cpu_width_pass,cpu_ms,gpu_complete_ms,gpu_device_ms,parse_ms,order_ms,size_ms,emit_ms,assembly_ms
fixed-4096,-1,4096,4096,6839,82536,82536,137568,17,0,0.75045799999999996,6.5274169999999998,1.2948333169333637,3.276583,1.317833,0.60166600000000003,0.53904200000000002,0.72862500000000008
fixed-4096,0,4096,4096,6839,82536,82536,137568,17,0,0.66187499999999999,3.1256249999999999,1.2506666826084256,0.87175000000000002,1.089375,0.27962500000000001,0.499417,0.34100000000000003
fixed-4096,1,4096,4096,6839,82536,82536,137568,17,0,0.64541700000000002,3.2617500000000001,1.2568749953061342,0.83087500000000003,1.2694589999999999,0.56979199999999997,0.25674999999999998,0.30033300000000002
fixed-4096,2,4096,4096,6839,82536,82536,137568,17,0,0.65641700000000003,2.9622920000000001,1.2548333615995944,0.76795800000000003,1.037542,0.28695900000000002,0.50495800000000002,0.31129200000000001
fixed-4096,3,4096,4096,6839,82536,82536,137568,17,0,0.60658299999999998,3.0049579999999998,1.2673332821577787,0.85750000000000004,1.3005420000000001,0.25429200000000002,0.26883299999999999,0.28362500000000002
fixed-4096,4,4096,4096,6839,82536,82536,137568,17,0,0.58037499999999997,2.4002089999999998,1.2546250363811851,0.56987500000000002,0.99150000000000005,0.26208399999999998,0.25179200000000002,0.28854200000000002
variable-4096,-1,4096,4096,6839,976248,977320,1631720,0,0,1.377,3.2625000000000002,1.4905832940712571,0.99487499999999995,1.0814589999999999,0.26220900000000003,0.48766599999999999,0.39016600000000001
variable-4096,0,4096,4096,6839,976248,977320,1631720,0,0,1.2685839999999999,3.4757920000000002,1.4830000000074506,0.95550000000000002,1.1824170000000001,0.2485,0.55374999999999996,0.48150000000000004
variable-4096,1,4096,4096,6839,976248,977320,1631720,0,0,1.034208,3.1060829999999999,1.4561667339876294,0.92866700000000002,1.01525,0.26200000000000001,0.46079199999999998,0.39141700000000001
variable-4096,2,4096,4096,6839,976248,977320,1631720,0,0,1.1840409999999999,3.0991249999999999,1.522374979685992,0.99970800000000004,1.0016670000000001,0.24937500000000001,0.449208,0.363124
