variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_fixed,fragments,4096,0,0,0,337292.000,82.347,10308,4373761350378516308,6826,4096,14234,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_fixed,fragments,4096,0,0,1,352541.000,86.070,10308,4373761350378516308,6826,4096,14234,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_fixed,fragments,4096,0,0,2,353250.000,86.243,10308,4373761350378516308,6826,4096,14234,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_variable,fragments,4096,0,0,0,439000.000,107.178,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_variable,fragments,4096,0,0,1,437875.000,106.903,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_variable,fragments,4096,0,0,2,444334.000,108.480,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,fragments,4096,0,0,0,304542.000,74.351,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,fragments,4096,0,0,1,259958.000,63.466,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,fragments,4096,0,0,2,259416.000,63.334,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,fragments,4096,0,0,0,301333.000,73.568,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,fragments,4096,0,0,1,315375.000,76.996,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,fragments,4096,0,0,2,362125.000,88.409,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,fragments,4096,0,0,0,391917.000,95.683,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,fragments,4096,0,0,1,383708.000,93.679,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,fragments,4096,0,0,2,390792.000,95.408,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,fragments,4096,0,0,0,490291.000,119.700,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,fragments,4096,0,0,1,493792.000,120.555,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,fragments,4096,0,0,2,488291.000,119.212,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,fragments,4096,0,0,0,295167.000,72.062,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,fragments,4096,0,0,1,222917.000,54.423,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,fragments,4096,0,0,2,275958.000,67.373,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_variable,fragments,4096,0,0,0,337417.000,82.377,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_variable,fragments,4096,0,0,1,295292.000,72.093,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_variable,fragments,4096,0,0,2,320208.000,78.176,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_fixed,fragments,4096,0,0,0,390209.000,95.266,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_fixed,fragments,4096,0,0,1,372458.000,90.932,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_fixed,fragments,4096,0,0,2,394458.000,96.303,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_variable,fragments,4096,0,0,0,489958.000,119.619,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_variable,fragments,4096,0,0,1,490500.000,119.751,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_variable,fragments,4096,0,0,2,483833.000,118.123,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,2,byte_fixed,fragments,4096,0,0,0,235167.000,57.414,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,2,byte_fixed,fragments,4096,0,0,1,250375.000,61.127,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,2,byte_fixed,fragments,4096,0,0,2,224209.000,54.739,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,2,byte_variable,fragments,4096,0,0,0,305542.000,74.595,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,2,byte_variable,fragments,4096,0,0,1,314833.000,76.864,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,2,byte_variable,fragments,4096,0,0,2,297458.000,72.622,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,2,bit_fixed,fragments,4096,0,0,0,319125.000,77.911,10308,4373761350378516308,6826,4096,14234,0,0,0,0
