variant,revision,trial,profile,records,prefix_bytes,round,build_ns,record_ns,payload_bytes,wire_digest
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,byte_variable,16384,0,1,2040958.000,124.570,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,byte_variable,16384,0,2,2044958.000,124.814,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,bit_fixed,16384,0,0,3250000.000,198.364,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,bit_fixed,16384,0,1,3304125.000,201.668,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,bit_fixed,16384,0,2,3219458.000,196.500,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,bit_variable,16384,0,0,3903833.000,238.271,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,bit_variable,16384,0,1,3954500.000,241.364,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,1,bit_variable,16384,0,2,3941125.000,240.547,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,byte_fixed,16384,0,0,1661750.000,101.425,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,byte_fixed,16384,0,1,1708208.000,104.261,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,byte_fixed,16384,0,2,1636167.000,99.864,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,byte_variable,16384,0,0,2029084.000,123.845,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,byte_variable,16384,0,1,2050875.000,125.175,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,byte_variable,16384,0,2,2062208.000,125.867,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,bit_fixed,16384,0,0,3285625.000,200.539,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,bit_fixed,16384,0,1,3281792.000,200.305,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,bit_fixed,16384,0,2,3209125.000,195.869,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,bit_variable,16384,0,0,3958458.000,241.605,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,bit_variable,16384,0,1,3936791.000,240.283,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,2,bit_variable,16384,0,2,3878708.000,236.738,83038,15871665711279132660
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,2,byte_fixed,16384,0,0,1363375.000,83.214,181387,10403037783553420394
candidate,4429df0a8507705a9c4ccc0f6366344cf543f396,2,byte_fixed,16384,0,1,1352125.000,82.527,181387,10403037783553420394
