variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,fragments,4096,0,0,0,496541.000,121.226,45312,7820603925231540191,54608,32768,61778,198976,144384,90408,56
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,fragments,4096,0,0,0,490333.000,119.710,82168,16838699902396890206,54608,32768,110919,215455,154624,98696,56
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,fragments,4096,0,0,0,563334.000,137.533,10308,4373761350378516308,6826,4096,14234,34156,20992,12624,48
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,fragments,4096,0,0,0,726417.000,177.348,16029,10631779632291143193,6826,4096,21862,42429,27136,16800,49
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,fragments,4096,0,0,0,489042.000,119.395,45312,7820603925231540191,54608,32768,61778,516340,303104,90408,57
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,fragments,4096,0,0,0,494125.000,120.636,82168,16838699902396890206,54608,32768,110919,532819,313344,98696,57
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,fragments,4096,0,0,0,521792.000,127.391,10308,4373761350378516308,6826,4096,14234,360734,211968,12624,54
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,fragments,4096,0,0,0,641208.000,156.545,16029,10631779632291143193,6826,4096,21862,369007,214016,16800,55
