variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,interleaved,4096,0,2,pipeline,1200833.000,97.724,12288,3291,4801493438380956427
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,duplicates,4096,0,0,sample,655458.000,35.316,18560,18557,8476562761733985929
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,duplicates,4096,0,0,pipeline,919167.000,49.524,18560,4188,13297295891071305527
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,duplicates,4096,0,1,sample,583833.000,31.457,18560,18557,8476562761733985929
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,duplicates,4096,0,1,pipeline,901708.000,48.583,18560,4188,13297295891071305527
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,duplicates,4096,0,2,sample,582667.000,31.394,18560,18557,8476562761733985929
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,byte,duplicates,4096,0,2,pipeline,830750.000,44.760,18560,4188,13297295891071305527
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,duplicates,4096,0,0,sample,924500.000,49.811,18560,18557,17887957781260477778
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,duplicates,4096,0,0,pipeline,1274250.000,68.656,18560,4188,2638605148812090001
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,duplicates,4096,0,1,sample,1050334.000,56.591,18560,18557,17887957781260477778
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,duplicates,4096,0,1,pipeline,1346833.000,72.566,18560,4188,2638605148812090001
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,duplicates,4096,0,2,sample,958000.000,51.616,18560,18557,17887957781260477778
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,0,bit,duplicates,4096,0,2,pipeline,1275875.000,68.743,18560,4188,2638605148812090001
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,byte,interleaved,4096,0,0,sample,345750.000,28.137,12288,12287,1831843142036873085
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,byte,interleaved,4096,0,0,pipeline,576458.000,46.912,12288,3291,1961096023440014163
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,byte,interleaved,4096,0,1,sample,325375.000,26.479,12288,12287,1831843142036873085
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,byte,interleaved,4096,0,1,pipeline,509209.000,41.440,12288,3291,1961096023440014163
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,byte,interleaved,4096,0,2,sample,361458.000,29.416,12288,12287,1831843142036873085
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,byte,interleaved,4096,0,2,pipeline,528292.000,42.993,12288,3291,1961096023440014163
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,bit,interleaved,4096,0,0,sample,792833.000,64.521,12288,12287,12193008009033903249
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,bit,interleaved,4096,0,0,pipeline,1001167.000,81.475,12288,3291,4801493438380956427
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,bit,interleaved,4096,0,1,sample,628000.000,51.107,12288,12287,12193008009033903249
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,bit,interleaved,4096,0,1,pipeline,982125.000,79.926,12288,3291,4801493438380956427
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,bit,interleaved,4096,0,2,sample,656542.000,53.430,12288,12287,12193008009033903249
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,bit,interleaved,4096,0,2,pipeline,911667.000,74.192,12288,3291,4801493438380956427
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,byte,duplicates,4096,0,0,sample,529209.000,28.513,18560,18557,8476562761733985929
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,byte,duplicates,4096,0,0,pipeline,734666.000,39.583,18560,4188,13297295891071305527
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,byte,duplicates,4096,0,1,sample,483750.000,26.064,18560,18557,8476562761733985929
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,byte,duplicates,4096,0,1,pipeline,749208.000,40.367,18560,4188,13297295891071305527
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,byte,duplicates,4096,0,2,sample,479209.000,25.819,18560,18557,8476562761733985929
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,byte,duplicates,4096,0,2,pipeline,708666.000,38.182,18560,4188,13297295891071305527
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,bit,duplicates,4096,0,0,sample,856250.000,46.134,18560,18557,17887957781260477778
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,bit,duplicates,4096,0,0,pipeline,1333750.000,71.862,18560,4188,2638605148812090001
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,bit,duplicates,4096,0,1,sample,882500.000,47.548,18560,18557,17887957781260477778
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,bit,duplicates,4096,0,1,pipeline,1268083.000,68.323,18560,4188,2638605148812090001
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,bit,duplicates,4096,0,2,sample,865041.000,46.608,18560,18557,17887957781260477778
candidate,57e366702874b2e82d1bf7c719598673e27a9e19,1,bit,duplicates,4096,0,2,pipeline,1209792.000,65.183,18560,4188,2638605148812090001
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,byte,interleaved,4096,0,0,sample,330958.000,26.933,12288,12287,1831843142036873085
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,byte,interleaved,4096,0,0,pipeline,594625.000,48.391,12288,3291,1961096023440014163
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,byte,interleaved,4096,0,1,sample,383166.000,31.182,12288,12287,1831843142036873085
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,byte,interleaved,4096,0,1,pipeline,545833.000,44.420,12288,3291,1961096023440014163
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,byte,interleaved,4096,0,2,sample,335500.000,27.303,12288,12287,1831843142036873085
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,byte,interleaved,4096,0,2,pipeline,543375.000,44.220,12288,3291,1961096023440014163
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,bit,interleaved,4096,0,0,sample,772083.000,62.832,12288,12287,12193008009033903249
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,bit,interleaved,4096,0,0,pipeline,927917.000,75.514,12288,3291,4801493438380956427
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,bit,interleaved,4096,0,1,sample,659000.000,53.630,12288,12287,12193008009033903249
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,bit,interleaved,4096,0,1,pipeline,895542.000,72.879,12288,3291,4801493438380956427
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,bit,interleaved,4096,0,2,sample,613916.000,49.961,12288,12287,12193008009033903249
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,bit,interleaved,4096,0,2,pipeline,899208.000,73.178,12288,3291,4801493438380956427
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,byte,duplicates,4096,0,0,sample,498500.000,26.859,18560,18557,8476562761733985929
baseline,17e232d4a78c6a7e10ccfd5587c7b732bfed1fec,1,byte,duplicates,4096,0,0,pipeline,787208.000,42.414,18560,4188,13297295891071305527
