case,logical_bits,groups,pattern,operation,variant,data_bytes,metadata_bytes,total_bytes,capacity_bytes,data_mod64,metadata_mod64,query_bytes,queries,trials,median_ns,min_ns,max_ns,checksum
hot_packed32KiB,873600,58240,random,rank,bitmap_rank,109248,3424,112672,112672,32,16,262144,1048576,7,8.325,8.281,12.297,228484590176
hot_packed32KiB,873600,58240,random,rank,rank15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,8.961,8.602,41.689,228484590176
hot_packed32KiB,873600,58240,random,rank,rank_groups15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,8.575,8.459,13.714,228484590176
hot_packed32KiB,873600,58240,random,rank,rank15_candidate,29120,3640,32760,32760,0,0,262144,1048576,7,4.289,4.130,4.682,228484590176
hot_packed32KiB,873600,58240,random,rank,rank15_simd,29120,3640,32760,32760,0,0,262144,1048576,7,4.939,4.663,5.068,228484590176
hot_packed32KiB,873600,58240,random,pair_two_ranks,bitmap_rank,109248,3424,112672,112672,32,16,262144,1048576,7,13.666,13.436,14.073,456977052320
hot_packed32KiB,873600,58240,random,pair_two_ranks,rank15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,13.754,13.525,33.772,456977052320
hot_packed32KiB,873600,58240,random,pair_two_ranks,rank_groups15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,13.732,13.402,13.999,456977052320
hot_packed32KiB,873600,58240,random,pair_two_ranks,rank15_candidate,29120,3640,32760,32760,0,0,262144,1048576,7,8.898,8.280,39.865,456977052320
hot_packed32KiB,873600,58240,random,pair_two_ranks,rank15_simd,29120,3640,32760,32760,0,0,262144,1048576,7,9.718,9.416,123.092,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,bitmap_rank,109248,3424,112672,112672,32,16,262144,1048576,7,9.993,9.860,14.590,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,rank15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,9.430,9.355,10.078,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,rank_groups15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,9.414,9.337,9.712,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,rank15_candidate,29120,3640,32760,32760,0,0,262144,1048576,7,5.272,4.974,11.655,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,rank15_simd,29120,3640,32760,32760,0,0,262144,1048576,7,5.809,5.073,37.834,456977052320
hot_packed32KiB,873600,58240,random_dependent,rank,bitmap_rank,109248,3424,112672,112672,32,16,262144,1048576,7,9.815,9.596,40.364,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,rank15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,10.797,10.415,15.658,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,rank_groups15_baseline,29120,3640,32760,32760,0,0,262144,1048576,7,10.629,10.371,41.446,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,rank15_candidate,29120,3640,32760,32760,0,0,262144,1048576,7,8.363,8.183,136.875,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,rank15_simd,29120,3640,32760,32760,0,0,262144,1048576,7,10.264,9.669,59.459,228414720673
