variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,0,byte,duplicates,4096,0,0,sample,650875.000,35.069,18560,18557,8476562761733985929
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,0,byte,duplicates,4096,0,0,pipeline,1058333.000,57.022,18560,4188,14205456126107407234
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,0,byte,duplicates,4096,0,1,sample,874834.000,47.135,18560,18557,8476562761733985929
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,0,byte,duplicates,4096,0,1,pipeline,1355959.000,73.058,18560,4188,14205456126107407234
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,0,byte,duplicates,4096,0,2,sample,795209.000,42.845,18560,18557,8476562761733985929
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,0,byte,duplicates,4096,0,2,pipeline,1116334.000,60.147,18560,4188,14205456126107407234
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,0,bit,duplicates,4096,0,0,sample,1130209.000,60.895,18560,18557,17887957781260477778
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,0,bit,duplicates,4096,0,0,pipeline,1747708.000,94.165,18560,4188,12370292114216348944
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,0,bit,duplicates,4096,0,1,sample,1132334.000,61.009,18560,18557,17887957781260477778
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,0,bit,duplicates,4096,0,1,pipeline,1723833.000,92.879,18560,4188,12370292114216348944
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,0,bit,duplicates,4096,0,2,sample,1130083.000,60.888,18560,18557,17887957781260477778
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,0,bit,duplicates,4096,0,2,pipeline,1707333.000,91.990,18560,4188,12370292114216348944
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,1,byte,interleaved,4096,0,0,sample,432792.000,35.221,12288,12287,1831843142036873085
candidate,35be933dffba607e3a482a50f07a3f8c983e2ce7,1,byte,interleaved,4096,0,0,pipeline,801292.000,65.209,12288,3291,7010700040678070324
