case,logical_bits,groups,pattern,operation,variant,data_bytes,metadata_bytes,total_bytes,capacity_bytes,data_mod64,metadata_mod64,query_bytes,queries,trials,median_ns,min_ns,max_ns,checksum
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,rank15_candidate,29120,3640,32760,32760,0,32,262144,1048576,5,15.393,15.180,15.517,456977052320
hot_packed32KiB,873600,58240,random,pair_rank_plus_class,rank15_simd,29120,3640,32760,32760,0,32,262144,1048576,5,6.542,6.467,6.808,456977052320
hot_packed32KiB,873600,58240,random_dependent,rank,bitmap_rank,109248,3424,112672,112672,0,32,262144,1048576,5,24.139,23.321,24.348,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,poppy512_neon_cpu,109248,3424,112672,112672,0,32,262144,1048576,5,19.617,19.414,19.817,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,rank15_baseline,29120,3640,32760,32760,0,32,262144,1048576,5,20.617,20.583,20.929,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,rank_groups15_baseline,29120,3640,32760,32760,0,32,262144,1048576,5,45.895,45.586,46.508,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,rank15_candidate,29120,3640,32760,32760,0,32,262144,1048576,5,19.080,18.890,19.273,228414720673
hot_packed32KiB,873600,58240,random_dependent,rank,rank15_simd,29120,3640,32760,32760,0,32,262144,1048576,5,17.290,17.151,17.463,228414720673
large_full96MiB,780902400,52060160,random,rank,bitmap_rank,97612800,3050408,100663208,100663208,0,0,8388608,1048576,5,68.042,66.812,69.525,204756862802504
large_full96MiB,780902400,52060160,random,rank,poppy512_neon_cpu,97612800,3050408,100663208,100663208,0,0,8388608,1048576,5,50.452,43.622,50.550,204756862802504
large_full96MiB,780902400,52060160,random,rank,rank15_baseline,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,90.318,85.564,92.488,204756862802504
large_full96MiB,780902400,52060160,random,rank,rank_groups15_baseline,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,170.104,134.866,186.031,204756862802504
large_full96MiB,780902400,52060160,random,rank,rank15_candidate,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,49.045,45.447,50.761,204756862802504
large_full96MiB,780902400,52060160,random,rank,rank15_simd,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,39.748,31.445,41.378,204756862802504
large_full96MiB,780902400,52060160,random,pair_two_ranks,bitmap_rank,97612800,3050408,100663208,100663208,0,0,8388608,1048576,5,97.426,51.306,109.308,409513733471115
large_full96MiB,780902400,52060160,random,pair_two_ranks,poppy512_neon_cpu,97612800,3050408,100663208,100663208,0,0,8388608,1048576,5,61.395,36.794,81.378,409513733471115
