key_bits,count,simd_geomean,simd_min_ratio,simd_max_ratio,simd_disjoint_win,simd_disjoint_loss,automatic_geomean,automatic_min_ratio,automatic_max_ratio,automatic_disjoint_win,automatic_disjoint_loss
32,1,0.7210589049810091,0.2889714597733296,1.6791160140505366,4,4,0.7113780079225213,0.28832507995003676,1.6282856268297086,4,4
32,2,1.6502342115509898,0.9313674964709046,2.9802619731763267,4,2,1.637452804071055,0.92576672086238,2.9414110192411713,4,2
32,3,1.605811801384394,0.6323996285067199,3.898154129388586,4,4,1.5879321633648555,0.6280187943995279,3.816036803705665,4,4
32,4,2.7678778545666907,1.2113006905397545,6.249408729305525,8,0,2.7262764211583197,1.208506934111065,6.078282586874432,8,0
32,5,0.8107485905099365,0.7412299145349768,0.9634275083605868,0,8,0.8207765567651605,0.7274893913852236,1.0033289767048512,0,6
32,6,0.8782709720484214,0.7842552187757992,1.0971564714254773,2,6,0.8854261959135198,0.7794109028681271,1.1132774481177985,2,6
32,7,0.8956056552870201,0.7220418856794476,1.1599518072289157,2,5,0.8934748692393917,0.7325860353921642,1.1383371169125993,2,5
32,8,1.0347209296257371,0.8703250795968446,1.3128123525695872,4,4,1.0333727716841656,0.8815701902140421,1.2938177233145514,4,4
32,9,1.0327950827584584,0.8771564774588415,1.3054683244143943,4,4,1.030728482135554,0.878327290188945,1.2912450575659848,4,4
32,10,1.0712937983006328,0.899717205995233,1.3940896245458214,4,4,1.069021930137246,0.8996348300990483,1.3780008938832842,4,4
32,11,1.0955901021467855,0.9117064446796906,1.4231315806472449,4,4,1.0937499772183856,0.911454261925092,1.4107947587068062,4,4
32,12,1.1347478384442482,0.9317749377645995,1.4585142286409292,4,4,1.1329992107373466,0.9322812347549488,1.4458666368565203,4,4
32,13,1.1651022487307359,0.9365428752712261,1.5011587858499371,4,2,1.1628929872123155,0.9365832259479615,1.4868488171905885,4,2
32,14,1.2014051341596064,0.9570294766832079,1.5821592840514567,4,2,1.1991995283958068,0.9576253597791397,1.56528876881759,4,2
32,15,1.09618448161855,0.87048043161771,1.4717908631568768,4,4,1.0949474100703114,0.8768179700843642,1.46298402729938,4,4
32,16,1.2811294335412835,1.0170321201465429,1.6994873257739638,7,0,1.2798779953913253,1.0181598250701736,1.6874400088118204,8,0
32,17,0.8624113545840558,0.7575084393356049,1.0777002707114542,2,6,0.9711536442876755,0.9546596603063847,1.0045013684159985,0,6
