key_bits,count,shape,windows,pattern,binary_ns,binary_min,binary_max,simd_ns,simd_min,simd_max,automatic_ns,automatic_min,automatic_max,simd_ratio,simd_disjoint_win,simd_disjoint_loss,automatic_ratio,automatic_disjoint_win,automatic_disjoint_loss,checksum
32,4,shared,8192,independent,12.8552,11.8556,12.9106,2.46712,2.45081,2.47232,2.54024,2.52156,2.54518,5.210609941956613,True,False,5.060624192989639,True,False,116824
32,5,random,1,dependent,12.6684,12.5129,12.8026,16.958,16.8047,17.3944,16.897,16.8447,17.7328,0.7470456421747849,False,True,0.749742557850506,False,True,129799
32,5,random,1,independent,9.70128,9.58632,9.78535,12.4824,12.4731,12.7719,12.231,12.0936,12.4202,0.7771966929436647,False,True,0.7931714495952907,False,True,130168
32,5,random,8192,dependent,17.7181,17.6776,18.0277,22.9068,22.6421,23.5398,22.953,22.6261,23.655,0.7734864756316902,False,True,0.7719295952598789,False,True,148254
32,5,random,8192,independent,13.0503,13.0294,13.1169,13.5457,13.3109,13.941,13.007,12.8915,13.2932,0.9634275083605868,False,True,1.0033289767048512,False,False,146368
32,5,shared,1,dependent,12.515,12.4886,12.7345,16.8841,16.8109,17.2799,17.203,17.0202,17.5029,0.7412299145349768,False,True,0.7274893913852236,False,True,129799
32,5,shared,1,independent,9.71602,9.36214,9.76649,12.4599,12.3982,12.8849,12.2547,12.1741,12.5026,0.7797831443270011,False,True,0.7928402980081112,False,True,130168
32,5,shared,8192,dependent,17.8319,17.5135,17.9072,22.8496,22.7659,23.1168,22.9231,22.6937,23.2393,0.780403158042154,False,True,0.7779008947306428,False,True,148254
32,5,shared,8192,independent,12.9706,12.9658,13.3388,13.5602,13.4797,13.7748,13.0136,12.9578,13.5427,0.9565198153419565,False,True,0.9966957644310567,False,False,146368
32,6,random,1,dependent,13.5775,13.3536,13.6002,16.9985,16.915,17.4272,17.2332,16.965,17.7447,0.7987469482601406,False,True,0.7878687649420886,False,True,187144
32,6,random,1,independent,10.3937,9.96832,10.4541,12.0383,11.9959,12.3255,11.6334,11.5836,11.9547,0.8633860262661672,False,True,0.8934361407671016,False,True,190040
32,6,random,8192,dependent,18.7052,18.502,18.7325,23.4455,23.3698,23.869,23.5397,23.3903,23.9121,0.7978162120662815,False,True,0.7946235508523899,False,True,176605
32,6,random,8192,independent,14.1487,14.1241,14.1618,12.9051,12.8866,13.2142,12.7705,12.7037,12.8949,1.0963650029833167,True,False,1.107920598253788,True,False,179576
32,6,shared,1,dependent,13.2994,13.2607,13.375,16.958,16.9181,17.4277,17.0634,17.0127,17.5499,0.7842552187757992,False,True,0.7794109028681271,False,True,187144
32,6,shared,1,independent,10.3566,10.1122,10.4063,12.042,12.0373,12.3393,11.6752,11.6667,11.9501,0.8600398604882911,False,True,0.8870597505824311,False,True,190040
32,6,shared,8192,dependent,18.6166,18.5924,18.6937,23.4741,23.3397,23.8939,23.5067,23.4344,23.9666,0.7930698088531615,False,True,0.7919699489932657,False,True,176605
32,6,shared,8192,independent,14.1836,14.1526,14.2686,12.9276,12.8882,13.2455,12.7404,12.6742,12.9216,1.0971564714254773,True,False,1.1132774481177985,True,False,179576
32,7,random,1,dependent,13.5816,13.5422,14.156,17.8519,17.8496,18.0728,17.9737,17.9666,18.3616,0.7607929688156443,False,True,0.7556374035396162,False,True,221112
32,7,random,1,independent,11.8023,11.7796,11.8338,12.3233,12.3155,12.4692,12.2844,12.284,12.4693,0.9577223633280048,False,True,0.9607551040343851,False,True,224024
32,7,random,8192,dependent,17.528,17.4939,17.5605,24.2756,23.9413,24.5734,23.9262,23.5816,24.2794,0.7220418856794476,False,True,0.7325860353921642,False,True,212536
32,7,random,8192,independent,14.2739,14.2175,14.3642,12.455,12.4449,12.6619,12.6862,12.6789,12.8792,1.1460377358490565,True,False,1.1251517396856427,True,False,213432
32,7,shared,1,dependent,13.8337,12.9451,13.8978,17.8529,17.8501,18.0884,17.9814,17.9679,18.265,0.7748713094231189,False,True,0.7693338672183478,False,True,221112
32,7,shared,1,independent,12.4387,12.3509,12.9203,12.3147,12.3004,12.4839,12.2868,12.2837,12.4694,1.0100692668112095,False,False,1.0123628609564737,False,False,224024
32,7,shared,8192,dependent,18.3425,17.5145,18.4622,24.2556,23.9407,24.6078,23.9617,23.6116,24.3569,0.7562171209947394,False,True,0.7654924316722103,False,True,212536
32,7,shared,8192,independent,14.4414,14.1516,14.4751,12.45,12.4239,12.6689,12.6864,12.6833,12.8912,1.1599518072289157,True,False,1.1383371169125993,True,False,213432
32,8,random,1,dependent,15.8793,15.8554,15.8896,17.7353,17.7321,17.9693,17.8532,17.8483,18.1468,0.8953499517910609,False,True,0.889437187731051,False,True,222493
32,8,random,1,independent,13.0271,12.9008,13.9666,12.183,12.181,12.3503,12.1564,12.1557,12.3398,1.0692850693589429,True,False,1.0716248231384293,True,False,220664
32,8,random,8192,dependent,21.6058,21.2096,22.0086,24.7234,24.1863,24.9762,24.3918,23.8847,24.6869,0.8739008388813835,False,True,0.8857812871538795,False,True,246296
32,8,random,8192,independent,16.4179,16.2141,16.6712,12.5059,12.4901,12.7135,12.6895,12.6796,12.8967,1.3128123525695872,True,False,1.2938177233145514,True,False,245912
32,8,shared,1,dependent,16.6244,16.5775,16.6672,17.7477,17.7337,17.9545,17.8559,17.8516,18.1457,0.936707291649059,False,True,0.9310311997715043,False,True,222493
32,8,shared,1,independent,13.8134,12.9818,13.8692,12.1811,12.1807,12.3496,12.1567,12.1555,12.3384,1.1340026762771833,True,False,1.1362787598608175,True,False,220664
32,8,shared,8192,dependent,21.4583,21.0795,21.8867,24.6555,24.1777,24.9981,24.341,23.8818,24.6989,0.8703250795968446,False,True,0.8815701902140421,False,True,246296
32,8,shared,8192,independent,16.1916,16.0244,16.5362,12.5128,12.4951,12.7116,12.6852,12.6807,12.9123,1.294002940988428,True,False,1.2764166114842495,True,False,245912
32,9,random,1,dependent,16.4174,16.4066,16.4935,17.9111,17.908,18.3722,17.8047,17.8037,18.3135,0.9166047869756743,False,True,0.9220823715086466,False,True,273740
32,9,random,1,independent,13.9676,13.8196,13.9927,12.162,12.1616,12.3796,12.1909,12.1894,12.4184,1.1484624239434302,True,False,1.1457398551378488,True,False,273536
32,9,random,8192,dependent,21.8155,21.7785,22.2365,24.8011,24.4938,24.878,24.8197,24.5367,24.8736,0.8796182427392333,False,True,0.8789590526879857,False,True,279796
32,9,random,8192,independent,16.2959,16.2484,16.6433,12.4828,12.4685,12.6695,12.6203,12.6128,12.859,1.3054683244143943,True,False,1.2912450575659848,True,False,279456
32,9,shared,1,dependent,15.7828,15.7202,15.8229,17.8923,17.8913,18.3565,17.8038,17.8024,18.2757,0.8821001212812216,False,True,0.8864849077163303,False,True,273740
32,9,shared,1,independent,12.9524,12.9256,13.8128,12.1612,12.1597,12.3492,12.1915,12.1912,12.3855,1.0650593691412034,True,False,1.06241233646393,True,False,273536
32,9,shared,8192,dependent,21.5834,21.5038,22.3383,24.6061,24.3407,24.7974,24.5733,24.3451,24.8306,0.8771564774588415,False,True,0.878327290188945,False,True,279796
32,9,shared,8192,independent,16.2099,16.1227,16.7802,12.4737,12.4642,12.6755,12.6206,12.6194,12.8758,1.2995262031313886,True,False,1.2844001077603284,True,False,279456
32,10,random,1,dependent,16.6108,16.048,16.7107,17.7961,17.7896,18.2762,17.7009,17.692,18.1971,0.9333955192429804,False,True,0.9384155607906943,False,True,306694
32,10,random,1,independent,14.289,13.3513,14.299,12.0587,12.0584,12.2815,12.0981,12.0956,12.3526,1.1849536019637275,True,False,1.1810945520370966,True,False,306840
32,10,random,8192,dependent,22.271,22.2304,22.5422,24.7455,24.6633,25.0982,24.7556,24.7308,25.1201,0.9000020205693965,False,True,0.8996348300990483,False,True,311217
32,10,random,8192,independent,17.2658,17.234,17.576,12.385,12.384,12.5833,12.5296,12.4935,12.7501,1.3940896245458214,True,False,1.3780008938832842,True,False,313864
32,10,shared,1,dependent,16.6367,16.6298,16.7012,17.8092,17.7912,18.2562,17.6942,17.6923,18.1661,0.9341632414707006,False,True,0.9402346531631836,False,True,306694
32,10,shared,1,independent,13.33,13.3295,13.3402,12.0572,12.0557,12.2455,12.0976,12.0974,12.3198,1.1055634807417976,True,False,1.101871445575982,True,False,306840
32,10,shared,8192,dependent,22.2707,22.1046,22.5785,24.753,24.6562,25.1265,24.7477,24.7186,25.1362,0.899717205995233,False,True,0.8999098906160978,False,True,311217
32,10,shared,8192,independent,16.6648,16.5938,17.3517,12.3864,12.3861,12.588,12.5161,12.5047,12.7651,1.345411096040819,True,False,1.3314690678406214,True,False,313864
32,11,random,1,dependent,17.0083,16.9504,17.328,17.7855,17.7843,18.6113,17.7124,17.6718,18.5468,0.9563014815439543,False,True,0.9602481877103046,False,True,347792
32,11,random,1,independent,14.7024,13.7086,14.7247,12.0384,12.0374,12.2547,12.0775,12.0757,12.2705,1.2212918660287082,True,False,1.2173380252535706,True,False,351456
