mode,fixture,logical_records,file,records,file_bytes,data_bytes,data_bits,key_literal_bits,encoded_value_bits,framing_bits,ef_low_bytes,ef_high_bytes,ef_sample_bytes,ef_sparse_bytes,rank_bytes,flag_bytes,cut_bytes,sort_metadata_bytes,header_directory_bytes,alignment_bytes,universe,offset_count,common_value_bits,suffix_length_bytes,suffix_zero_bytes,suffix_nul_safe_bytes
typed-bit,string-structured-fixed,8192,native-3.kv,0,320,0,0,0,0,0,0,8,16,0,0,0,0,8,288,0,0,1,0,0,0,0
typed-bit,string-structured-fixed,8192,route-0.index,0,5312,0,0,0,0,0,0,16,32,0,336,0,4384,0,544,0,0,2,0,0,0,0
typed-bit,string-structured-fixed,8192,route-1.index,274,6272,2930,23435,17033,0,6402,32,16,32,0,192,35,2480,0,544,11,23435,21,0,0,0,0
typed-bit,string-structured-fixed,8192,route-2.index,292,4312,3268,26134,19016,0,7118,32,16,32,0,48,38,320,0,544,14,26134,23,0,0,0,0
typed-bit,string-structured-fixed,8192,route-3.index,20,944,269,2150,1636,0,514,8,16,32,0,32,3,32,0,544,8,2150,4,0,0,0,0
typed-bit,string-structured-fixed,8192,route-4.index,2,712,54,432,388,0,44,8,16,32,0,32,1,16,0,544,9,432,3,0,0,0,0
typed-bit,string-structured-variable,8192,native-0.kv,2048,553736,553097,4424772,111376,4267418,45978,248,56,16,0,0,0,0,17,288,14,4424772,138,0,0,0,0
typed-bit,string-structured-variable,8192,native-1.kv,2048,553544,552906,4423244,111376,4265890,45978,248,56,16,0,0,0,0,17,288,13,4423244,138,0,0,0,0
typed-bit,string-structured-variable,8192,native-2.kv,4096,1082944,1082007,8656049,211733,8352460,91856,488,104,32,0,0,0,0,17,288,8,8656049,275,0,0,0,0
typed-bit,string-structured-variable,8192,native-3.kv,0,320,0,0,0,0,0,0,8,16,0,0,0,0,8,288,0,0,1,0,0,0,0
typed-bit,string-structured-variable,8192,route-0.index,0,5312,0,0,0,0,0,0,16,32,0,336,0,4384,0,544,0,0,2,0,0,0,0
typed-bit,string-structured-variable,8192,route-1.index,274,6272,2930,23435,17033,0,6402,32,16,32,0,192,35,2480,0,544,11,23435,21,0,0,0,0
typed-bit,string-structured-variable,8192,route-2.index,292,4312,3268,26134,19016,0,7118,32,16,32,0,48,38,320,0,544,14,26134,23,0,0,0,0
typed-bit,string-structured-variable,8192,route-3.index,20,944,269,2150,1636,0,514,8,16,32,0,32,3,32,0,544,8,2150,4,0,0,0,0
typed-bit,string-structured-variable,8192,route-4.index,2,712,54,432,388,0,44,8,16,32,0,32,1,16,0,544,9,432,3,0,0,0,0
typed-bit,string-binary-fixed,8192,native-0.kv,2048,72840,72279,578229,243187,282624,52418,192,40,16,0,0,0,0,17,288,8,295605,138,138,0,0,0
typed-bit,string-binary-fixed,8192,native-1.kv,2048,72848,72282,578256,243214,282624,52418,192,40,16,0,0,0,0,17,288,13,295632,138,138,0,0,0
typed-bit,string-binary-fixed,8192,native-2.kv,4096,144592,143792,1150336,480170,565248,104918,384,72,32,0,0,0,0,17,288,7,585088,275,138,0,0,0
typed-bit,string-binary-fixed,8192,native-3.kv,0,320,0,0,0,0,0,0,8,16,0,0,0,0,8,288,0,0,1,0,0,0,0
typed-bit,string-binary-fixed,8192,route-0.index,0,5312,0,0,0,0,0,0,16,32,0,336,0,4384,0,544,0,0,2,0,0,0,0
typed-bit,string-binary-fixed,8192,route-1.index,274,8392,5049,40391,33379,0,7012,32,16,32,0,192,35,2480,0,544,12,40391,21,0,0,0,0
typed-bit,string-binary-fixed,8192,route-2.index,292,6456,5414,43300,35836,0,7464,32,16,32,0,48,38,320,0,544,12,43300,23,0,0,0,0
typed-bit,string-binary-fixed,8192,route-3.index,20,1056,378,3021,2511,0,510,8,16,32,0,32,3,32,0,544,11,3021,4,0,0,0,0
typed-bit,string-binary-fixed,8192,route-4.index,2,696,38,303,257,0,46,8,16,32,0,32,1,16,0,544,9,303,3,0,0,0,0
typed-bit,string-binary-variable,8192,native-0.kv,2048,563480,562848,4502779,243187,4207174,52418,248,56,16,0,0,0,0,17,288,7,4502779,138,0,0,0,0
typed-bit,string-binary-variable,8192,native-1.kv,2048,566224,565585,4524680,243214,4229048,52418,264,40,16,0,0,0,0,17,288,14,4524680,138,0,0,0,0
typed-bit,string-binary-variable,8192,native-2.kv,4096,1130272,1129330,9034634,480170,8449546,104918,520,72,32,0,0,0,0,17,288,13,9034634,275,0,0,0,0
typed-bit,string-binary-variable,8192,native-3.kv,0,320,0,0,0,0,0,0,8,16,0,0,0,0,8,288,0,0,1,0,0,0,0
typed-bit,string-binary-variable,8192,route-0.index,0,5312,0,0,0,0,0,0,16,32,0,336,0,4384,0,544,0,0,2,0,0,0,0
typed-bit,string-binary-variable,8192,route-1.index,274,8392,5049,40391,33379,0,7012,32,16,32,0,192,35,2480,0,544,12,40391,21,0,0,0,0
typed-bit,string-binary-variable,8192,route-2.index,292,6456,5414,43300,35836,0,7464,32,16,32,0,48,38,320,0,544,12,43300,23,0,0,0,0
typed-bit,string-binary-variable,8192,route-3.index,20,1056,378,3021,2511,0,510,8,16,32,0,32,3,32,0,544,11,3021,4,0,0,0,0
typed-bit,string-binary-variable,8192,route-4.index,2,696,38,303,257,0,46,8,16,32,0,32,1,16,0,544,9,303,3,0,0,0,0
typed-bit,string-prefix-fixed,8192,native-0.kv,2048,40632,40116,320926,13072,282624,25230,144,40,16,0,0,0,0,17,288,11,38302,138,138,0,0,0
typed-bit,string-prefix-fixed,8192,native-1.kv,2048,40632,40116,320926,13072,282624,25230,144,40,16,0,0,0,0,17,288,11,38302,138,138,0,0,0
typed-bit,string-prefix-fixed,8192,native-2.kv,4096,78160,77477,619813,15125,565248,39440,248,88,32,0,0,0,0,17,288,10,54565,275,138,0,0,0
typed-bit,string-prefix-fixed,8192,native-3.kv,0,320,0,0,0,0,0,0,8,16,0,0,0,0,8,288,0,0,1,0,0,0,0
typed-bit,string-prefix-fixed,8192,route-0.index,0,5312,0,0,0,0,0,0,16,32,0,336,0,4384,0,544,0,0,2,0,0,0,0
typed-bit,string-prefix-fixed,8192,route-1.index,274,4352,1022,8171,3881,0,4290,24,16,32,0,192,35,2480,0,544,7,8171,21,0,0,0,0
typed-bit,string-prefix-fixed,8192,route-2.index,292,2280,1235,9874,5000,0,4874,32,16,32,0,48,38,320,0,544,15,9874,23,0,0,0,0
typed-bit,string-prefix-fixed,8192,route-3.index,20,808,131,1042,676,0,366,8,16,32,0,32,3,32,0,544,10,1042,4,0,0,0,0
typed-bit,string-prefix-fixed,8192,route-4.index,2,704,41,328,292,0,36,8,16,32,0,32,1,16,0,544,14,328,3,0,0,0,0
typed-bit,string-prefix-variable,8192,native-0.kv,2048,538848,538215,4305720,13072,4267418,25230,248,56,16,0,0,0,0,17,288,8,4305720,138,0,0,0,0
typed-bit,string-prefix-variable,8192,native-1.kv,2048,538656,538024,4304192,13072,4265890,25230,248,56,16,0,0,0,0,17,288,7,4304192,138,0,0,0,0
typed-bit,string-prefix-variable,8192,native-2.kv,4096,1051816,1050879,8407025,15125,8352460,39440,488,104,32,0,0,0,0,17,288,8,8407025,275,0,0,0,0
typed-bit,string-prefix-variable,8192,native-3.kv,0,320,0,0,0,0,0,0,8,16,0,0,0,0,8,288,0,0,1,0,0,0,0
typed-bit,string-prefix-variable,8192,route-0.index,0,5312,0,0,0,0,0,0,16,32,0,336,0,4384,0,544,0,0,2,0,0,0,0
typed-bit,string-prefix-variable,8192,route-1.index,274,4352,1022,8171,3881,0,4290,24,16,32,0,192,35,2480,0,544,7,8171,21,0,0,0,0
typed-bit,string-prefix-variable,8192,route-2.index,292,2280,1235,9874,5000,0,4874,32,16,32,0,48,38,320,0,544,15,9874,23,0,0,0,0
typed-bit,string-prefix-variable,8192,route-3.index,20,808,131,1042,676,0,366,8,16,32,0,32,3,32,0,544,10,1042,4,0,0,0,0
typed-bit,string-prefix-variable,8192,route-4.index,2,704,41,328,292,0,36,8,16,32,0,32,1,16,0,544,14,328,3,0,0,0,0
