mode,rep,kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
tiled,1,cutover,1,train,1024,1,32,50,8,0,2,0,1024,1024,128124,128211,16464,16480,-1,-1,321,321,0.395875,0.640333,5.533958,4.35045833001,0.8405,0.0185,3.865833,0.278125,0.259333,0.271499,1524,187043,23888,2086645356
tiled,0,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.323208,16.536666,10.047875,5.18762494903,2.158084,0.038084,1.052875,0.596292,4.747084,1.455166,36864,140062520,17513752,2035597497
tiled,0,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.514916,16.300375,6.163375,2.5329584023,1.694667,0.09425,0.786,0.352708,1.799667,1.435374,36864,140062520,17513752,2035597497
tiled,0,cutover,44,heldout,32768,8,0,0,512,0,2,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.550791,15.885083,10.512708,6.55920838472,2.370167,0.039375,1.0775,0.553458,4.994333,1.477458,36864,140062520,17513752,2035597497
levelwise,0,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.599375,16.87175,6.023625,2.42283329135,2.141416,0.04125,0.57775,0.287709,1.486375,1.488542,36864,140062520,17513752,2035597497
levelwise,0,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.486125,16.831291,5.547167,1.32629170548,1.468,0.037791,0.877875,0.299833,1.1715,1.691792,36864,140062520,17513752,2035597497
levelwise,0,cutover,44,heldout,32768,8,0,0,512,0,2,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.275125,16.147333,5.773792,2.27954174625,1.823083,0.029041,0.554083,0.304458,1.5345,1.528209,36864,140062520,17513752,2035597497
levelwise,2,cutover,13,train,4096,1,32,50,512,0,0,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.252667,3.204042,5.687625,2.663833322,0.925541,0.037417,1.537458,0.276792,2.357084,0.553084,6142,23322038,2916520,3383366565
levelwise,2,cutover,13,train,4096,1,32,50,512,0,1,1,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.038667,2.858667,5.5005,3.5209999769,1.36025,0.0355,1.931916,1.233417,0.390292,0.548707,6142,23322038,2916520,3383366565
levelwise,2,cutover,13,train,4096,1,32,50,512,0,2,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.237542,3.006542,4.332667,2.26408336312,1.203417,0.040583,1.741542,0.275792,0.539625,0.531416,6142,23322038,2916520,3383366565
tiled,2,cutover,13,train,4096,1,32,50,512,0,0,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.073375,2.953333,4.123625,1.4848333085,0.973,0.0485,1.020875,0.648875,0.478375,0.953708,6142,23322038,2916520,3383366565
tiled,2,cutover,13,train,4096,1,32,50,512,0,1,1,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.035125,3.039667,4.469083,2.48812494101,1.606875,0.032625,1.492958,0.243042,0.611542,0.481875,6142,23322038,2916520,3383366565
tiled,2,cutover,13,train,4096,1,32,50,512,0,2,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.090458,3.01475,6.800875,3.30612505786,3.343833,0.052292,1.264459,0.551166,0.60225,0.986583,6142,23322038,2916520,3383366565
tiled,2,cutover,34,heldout,2048,1,64,25,32,0,0,1,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.897125,1.169416,3.961542,2.37025000388,1.156292,0.037291,1.61675,0.628333,0.242708,0.280042,3571,1069310,134416,2890404737
tiled,2,cutover,34,heldout,2048,1,64,25,32,0,1,0,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.869958,1.183458,4.832334,3.17887490382,0.765459,0.024458,1.807791,0.830042,0.30825,1.096042,3571,1069310,134416,2890404737
