phase,profile,distribution,records,key_bytes,query_kind,access,variant,processes,baseline_ns,query_ns,speedup,baseline_min_ns,baseline_max_ns,candidate_min_ns,candidate_max_ns,process_ranges,baseline_file_bytes,file_bytes,file_growth_percent,offset_bytes,offset_file_percent,offset_auxiliary_bytes,preparation_ns
primary,typed-byte,structured,8192,16,hit,independent,direct32,3,2715.658,2478.638,1.0956250973316797,2672.302,2738.627,2454.813,2500.0,faster,427096,428824,0.40459287841609903,3248,0.7574202936402813,0,6904410.0
primary,typed-byte,structured,8192,16,hit,independent,sub32,3,2715.658,2717.793,0.9992144361251941,2672.302,2738.627,2664.937,2891.235,overlap,427096,427384,0.06743214640267947,1808,0.42303876607453716,576,7008790.0
primary,typed-byte,structured,8192,16,miss,dependent,base,3,2779.114,2779.114,1.0,2773.438,2854.492,2773.438,2854.492,overlap,427096,427096,0.0,1520,0.35589188379193437,288,7228950.0
primary,typed-byte,structured,8192,16,miss,dependent,direct32,3,2779.114,2534.953,1.096317762104465,2773.438,2854.492,2481.873,2683.411,faster,427096,428824,0.40459287841609903,3248,0.7574202936402813,0,6904410.0
primary,typed-byte,structured,8192,16,miss,dependent,sub32,3,2779.114,2880.31,0.9648662817543945,2773.438,2854.492,2807.577,2914.103,overlap,427096,427384,0.06743214640267947,1808,0.42303876607453716,576,7008790.0
primary,typed-byte,structured,8192,16,miss,independent,base,3,2824.382,2824.382,1.0,2803.65,2888.326,2803.65,2888.326,overlap,427096,427096,0.0,1520,0.35589188379193437,288,7228950.0
primary,typed-byte,structured,8192,16,miss,independent,direct32,3,2824.382,2531.555,1.1156708031229818,2803.65,2888.326,2512.716,2575.236,faster,427096,428824,0.40459287841609903,3248,0.7574202936402813,0,6904410.0
primary,typed-byte,structured,8192,16,miss,independent,sub32,3,2824.382,2904.684,0.9723543077319253,2803.65,2888.326,2841.39,2917.44,overlap,427096,427384,0.06743214640267947,1808,0.42303876607453716,576,7008790.0
primary,typed-byte,structured,8192,16,mixed,dependent,base,3,2739.543,2739.543,1.0,2735.697,2828.857,2735.697,2828.857,overlap,427096,427096,0.0,1520,0.35589188379193437,288,7228950.0
primary,typed-byte,structured,8192,16,mixed,dependent,direct32,3,2739.543,2532.288,1.0818449560239594,2735.697,2828.857,2430.359,2535.929,faster,427096,428824,0.40459287841609903,3248,0.7574202936402813,0,6904410.0
primary,typed-byte,structured,8192,16,mixed,dependent,sub32,3,2739.543,2741.353,0.9993397420908581,2735.697,2828.857,2731.221,2763.347,overlap,427096,427384,0.06743214640267947,1808,0.42303876607453716,576,7008790.0
primary,typed-byte,structured,8192,16,mixed,independent,base,3,2718.73,2718.73,1.0,2706.095,2749.349,2706.095,2749.349,overlap,427096,427096,0.0,1520,0.35589188379193437,288,7228950.0
primary,typed-byte,structured,8192,16,mixed,independent,direct32,3,2718.73,2481.242,1.0957133564561619,2706.095,2749.349,2449.666,2561.646,faster,427096,428824,0.40459287841609903,3248,0.7574202936402813,0,6904410.0
primary,typed-byte,structured,8192,16,mixed,independent,sub32,3,2718.73,2722.473,0.9986251470629829,2706.095,2749.349,2709.859,2800.049,overlap,427096,427384,0.06743214640267947,1808,0.42303876607453716,576,7008790.0
