phase,profile,distribution,records,key_bytes,query_kind,access,variant,processes,baseline_ns,query_ns,speedup,baseline_min_ns,baseline_max_ns,candidate_min_ns,candidate_max_ns,process_ranges,baseline_file_bytes,file_bytes,file_growth_percent,offset_bytes,offset_file_percent,offset_auxiliary_bytes,preparation_ns
size-panel,typed-bit,hash,32768,128,hit,sorted,packed,2,6859.396500000001,6615.386,1.0368853004193557,6837.649,6881.144,6612.576,6618.196,faster,7679128,7682152,0.039379471210798656,9880,0.12860979579680276,0,70338400.0
size-panel,typed-bit,hash,32768,128,hit,sorted,sub32,2,6859.396500000001,6896.303,0.9946483644932655,6837.649,6881.144,6880.516,6912.09,overlap,7679128,7679576,0.0058339957349273774,7304,0.09510941749909109,896,71388250.0
size-panel,typed-bit,hash,8192,128,hit,random,base,2,6981.763,6981.763,1.0,6944.275,7019.251,6944.275,7019.251,overlap,1926400,1926400,0.0,2024,0.10506644518272425,288,19635450.0
size-panel,typed-bit,hash,8192,128,hit,random,direct32,2,6981.763,6651.0465,1.0497239795271316,6944.275,7019.251,6627.67,6674.423,faster,1926400,1927624,0.06353820598006266,3248,0.16849759081646629,0,20019350.0
size-panel,typed-bit,hash,8192,128,hit,random,direct64,2,6981.763,6618.2635,1.0549236971299194,6944.275,7019.251,6482.244,6754.283,faster,1926400,1930808,0.22882059800664045,6432,0.3331247850640768,0,20442315.0
size-panel,typed-bit,hash,8192,128,hit,random,packed,2,6981.763,6726.1555,1.0380020206193568,6944.275,7019.251,6717.504,6734.807,faster,1926400,1926704,0.015780730897008155,2328,0.12082810852108056,0,19834915.0
size-panel,typed-bit,hash,8192,128,hit,random,sub32,2,6981.763,6954.345499999999,1.0039424989742025,6944.275,7019.251,6890.915,7017.776,overlap,1926400,1926688,0.014950166112948082,2312,0.11999867129498912,576,19901150.0
size-panel,typed-bit,hash,8192,128,hit,sorted,base,2,6382.609,6382.609,1.0,6380.478,6384.74,6380.478,6384.74,overlap,1926400,1926400,0.0,2024,0.10506644518272425,288,19635450.0
size-panel,typed-bit,hash,8192,128,hit,sorted,direct32,2,6382.609,6161.298000000001,1.0359195416290528,6380.478,6384.74,6149.404,6173.192,faster,1926400,1927624,0.06353820598006266,3248,0.16849759081646629,0,20019350.0
size-panel,typed-bit,hash,8192,128,hit,sorted,direct64,2,6382.609,6090.856,1.0479001637865024,6380.478,6384.74,5989.873,6191.839,faster,1926400,1930808,0.22882059800664045,6432,0.3331247850640768,0,20442315.0
size-panel,typed-bit,hash,8192,128,hit,sorted,packed,2,6382.609,6156.468500000001,1.0367321785208516,6380.478,6384.74,6123.301,6189.636,faster,1926400,1926704,0.015780730897008155,2328,0.12082810852108056,0,19834915.0
size-panel,typed-bit,hash,8192,128,hit,sorted,sub32,2,6382.609,6483.047500000001,0.9845075174908097,6380.478,6384.74,6459.122,6506.973,slower,1926400,1926688,0.014950166112948082,2312,0.11999867129498912,576,19901150.0
size-panel,typed-byte,structured,1024,16,hit,random,base,2,2139.7505,2139.7505,1.0,2130.859,2148.642,2130.859,2148.642,overlap,57664,57664,0.0,568,0.9850166481687015,256,2837104.0
size-panel,typed-byte,structured,1024,16,hit,random,direct32,2,2139.7505,1933.96,1.1064088709177027,2130.859,2148.642,1904.053,1963.867,faster,57664,57616,-0.08324084350721517,520,0.9025270758122743,0,2986146.0
size-panel,typed-byte,structured,1024,16,hit,random,direct64,2,2139.7505,2127.6040000000003,1.0057090041191876,2130.859,2148.642,1914.185,2341.023,overlap,57664,58064,0.6936736958934597,968,1.6671259300082668,0,3987813.5
size-panel,typed-byte,structured,1024,16,hit,random,packed,2,2139.7505,1959.147,1.092184762041848,2130.859,2148.642,1950.032,1968.262,faster,57664,57352,-0.5410654827968875,256,0.4463662993443995,0,2890331.0
size-panel,typed-byte,structured,1024,16,hit,random,sub32,2,2139.7505,2170.7560000000003,0.9857167272599959,2130.859,2148.642,2150.92,2190.592,slower,57664,57920,0.4439511653718142,824,1.4226519337016574,512,3417537.0
size-panel,typed-byte,structured,1024,16,hit,sorted,base,2,2037.17,2037.17,1.0,2026.855,2047.485,2026.855,2047.485,overlap,57664,57664,0.0,568,0.9850166481687015,256,2837104.0
size-panel,typed-byte,structured,1024,16,hit,sorted,direct32,2,2037.17,1826.0695,1.1156037598787998,2026.855,2047.485,1804.483,1847.656,faster,57664,57616,-0.08324084350721517,520,0.9025270758122743,0,2986146.0
size-panel,typed-byte,structured,1024,16,hit,sorted,direct64,2,2037.17,1922.444,1.059677160947211,2026.855,2047.485,1786.783,2058.105,overlap,57664,58064,0.6936736958934597,968,1.6671259300082668,0,3987813.5
size-panel,typed-byte,structured,1024,16,hit,sorted,packed,2,2037.17,1864.156,1.092810902091885,2026.855,2047.485,1818.888,1909.424,faster,57664,57352,-0.5410654827968875,256,0.4463662993443995,0,2890331.0
size-panel,typed-byte,structured,1024,16,hit,sorted,sub32,2,2037.17,2095.2145,0.9722966312041083,2026.855,2047.485,2040.283,2150.146,overlap,57664,57920,0.4439511653718142,824,1.4226519337016574,512,3417537.0
size-panel,typed-byte,structured,131072,16,hit,random,base,2,3404.169,3404.169,1.0,3393.616,3414.722,3393.616,3414.722,overlap,6762352,6762352,0.0,18160,0.26854561844754604,1024,74851900.0
size-panel,typed-byte,structured,131072,16,hit,random,direct32,2,3404.169,3064.65,1.1107855709461112,3393.616,3414.722,3032.775,3096.525,faster,6762352,6794352,0.4732081382335718,50160,0.7382602491010181,0,75719200.0
size-panel,typed-byte,structured,131072,16,hit,random,direct64,2,3404.169,3063.0455,1.111367428267063,3393.616,3414.722,2997.537,3128.554,faster,6762352,6844448,1.2140154786381974,100256,1.4647784598553455,0,75669900.0
size-panel,typed-byte,structured,131072,16,hit,random,packed,2,3404.169,3127.8755,1.0883326398381266,3393.616,3414.722,3094.085,3161.666,faster,6762352,6778352,0.2366040691167859,34160,0.503957304076271,0,76295550.0
size-panel,typed-byte,structured,131072,16,hit,random,sub32,2,3404.169,3445.2174999999997,0.9880853676146717,3393.616,3414.722,3385.082,3505.353,overlap,6762352,6763376,0.015142660423483889,19184,0.28364532742228143,2048,75469750.0
size-panel,typed-byte,structured,131072,16,hit,sorted,base,2,2966.0415000000003,2966.0415000000003,1.0,2928.83,3003.253,2928.83,3003.253,overlap,6762352,6762352,0.0,18160,0.26854561844754604,1024,74851900.0
size-panel,typed-byte,structured,131072,16,hit,sorted,direct32,2,2966.0415000000003,2775.201,1.0687663704358712,2928.83,3003.253,2742.118,2808.284,faster,6762352,6794352,0.4732081382335718,50160,0.7382602491010181,0,75719200.0
size-panel,typed-byte,structured,131072,16,hit,sorted,direct64,2,2966.0415000000003,2715.1504999999997,1.0924040858876887,2928.83,3003.253,2669.509,2760.792,faster,6762352,6844448,1.2140154786381974,100256,1.4647784598553455,0,75669900.0
size-panel,typed-byte,structured,131072,16,hit,sorted,packed,2,2966.0415000000003,2797.3,1.0603229900260966,2928.83,3003.253,2743.184,2851.416,faster,6762352,6778352,0.2366040691167859,34160,0.503957304076271,0,76295550.0
size-panel,typed-byte,structured,131072,16,hit,sorted,sub32,2,2966.0415000000003,3008.913,0.9857518313091805,2928.83,3003.253,2958.249,3059.577,overlap,6762352,6763376,0.015142660423483889,19184,0.28364532742228143,2048,75469750.0
size-panel,typed-byte,structured,32768,16,hit,random,base,2,3049.924,3049.924,1.0,3024.105,3075.743,3024.105,3075.743,overlap,1694672,1694672,0.0,4872,0.287489260458661,448,21042895.0
size-panel,typed-byte,structured,32768,16,hit,random,direct32,2,3049.924,2772.088,1.10022625544355,3024.105,3075.743,2744.684,2799.492,faster,1694672,1702456,0.45932192188222754,12656,0.7433965987960922,0,20561360.0
size-panel,typed-byte,structured,32768,16,hit,random,direct64,2,3049.924,2803.407,1.0879347879205552,3024.105,3075.743,2783.161,2823.653,faster,1694672,1715024,1.200940358960323,25224,1.4707665898553024,0,20439180.0
size-panel,typed-byte,structured,32768,16,hit,random,packed,2,3049.924,2866.7145,1.0639092243053851,3024.105,3075.743,2828.314,2905.115,faster,1694672,1697616,0.17372093242822295,7816,0.46041036371004984,0,21514000.0
size-panel,typed-byte,structured,32768,16,hit,random,sub32,2,3049.924,3041.9555,1.0026195320740228,3024.105,3075.743,3002.324,3081.587,overlap,1694672,1695120,0.0264357940651605,5320,0.3138420878757846,896,21092295.0
size-panel,typed-byte,structured,32768,16,hit,sorted,base,2,2823.1385,2823.1385,1.0,2807.311,2838.966,2807.311,2838.966,overlap,1694672,1694672,0.0,4872,0.287489260458661,448,21042895.0
