profile,distribution,records,key_bytes,query_kind,access,trial,queries,checksum,ef_select_calls,rank_calls,project_calls,byte_frame_calls,bit_frame_calls,compare_calls,materialize_calls
typed-bit,structured,8192,16,miss,dependent,0,1024,9454291803802297344,12177,10240,5120,36549,61640,41912,0
typed-bit,structured,8192,16,mixed,independent,0,1024,6792679470048290156,11867,9836,4918,36054,59061,39861,512
typed-bit,structured,8192,16,mixed,dependent,0,1024,17669440381233605553,11738,9682,4841,35742,58148,38805,634
typed-bit,structured,8192,128,hit,independent,0,1024,15263246828060497809,11677,9576,4788,35857,57235,38210,1024
typed-bit,structured,8192,128,hit,dependent,0,1024,9186972302383365945,11584,9558,4779,36014,56323,38472,1024
typed-bit,structured,8192,128,miss,independent,0,1024,9454291803802297344,12181,10240,5120,36536,61660,41917,0
typed-bit,structured,8192,128,miss,dependent,0,1024,9454291803802297344,12177,10240,5120,36549,61640,41912,0
typed-bit,structured,8192,128,mixed,independent,0,1024,6792679470048290156,11867,9836,4918,36054,59061,39861,512
typed-bit,structured,8192,128,mixed,dependent,0,1024,17669440381233605553,11738,9682,4841,35742,58148,38805,634
typed-bit,hash,8192,16,hit,independent,0,1024,15263246828060497809,11534,9576,4788,36092,55712,31843,1024
typed-bit,hash,8192,16,hit,dependent,0,1024,9186972302383365945,11414,9558,4779,36259,54956,31599,1024
typed-bit,hash,8192,16,miss,independent,0,1024,9454291803802297344,12068,10240,5120,36363,60088,33533,0
typed-bit,hash,8192,16,miss,dependent,0,1024,9454291803802297344,12066,10240,5120,36372,60087,33547,0
typed-bit,hash,8192,16,mixed,independent,0,1024,6792679470048290156,11720,9836,4918,35810,57487,32500,512
typed-bit,hash,8192,16,mixed,dependent,0,1024,17669440381233605553,11643,9682,4841,35681,56755,32212,634
typed-bit,hash,8192,128,hit,independent,0,1024,15263246828060497809,11534,9576,4788,36092,55712,31843,1024
typed-bit,hash,8192,128,hit,dependent,0,1024,9186972302383365945,11414,9558,4779,36259,54956,31599,1024
typed-bit,hash,8192,128,miss,independent,0,1024,9454291803802297344,12068,10240,5120,36363,60088,33533,0
typed-bit,hash,8192,128,miss,dependent,0,1024,9454291803802297344,12066,10240,5120,36372,60087,33547,0
typed-bit,hash,8192,128,mixed,independent,0,1024,6792679470048290156,11720,9836,4918,35810,57487,32500,512
typed-bit,hash,8192,128,mixed,dependent,0,1024,17669440381233605553,11643,9682,4841,35681,56755,32212,634
typed-bit,structured,131072,16,hit,independent,0,1024,10987157055868982125,12569,11624,5812,47518,55877,40218,1024
typed-bit,structured,131072,16,hit,dependent,0,1024,5194474553496798881,12597,11586,5793,46948,55708,40117,1024
typed-bit,structured,131072,16,miss,independent,0,1024,9454291803802297344,13047,12288,6144,48123,60298,43984,0
typed-bit,structured,131072,16,miss,dependent,0,1024,9454291803802297344,13050,12288,6144,48144,60300,43980,0
typed-bit,structured,131072,16,mixed,independent,0,1024,8853849158989306707,12738,11884,5942,47666,57663,41898,512
typed-bit,structured,131072,16,mixed,dependent,0,1024,12674220610458925796,12710,11830,5915,47950,57332,41527,609
typed-bit,structured,131072,128,hit,independent,0,1024,10987157055868982125,12569,11624,5812,47518,55877,40218,1024
typed-bit,structured,131072,128,hit,dependent,0,1024,5194474553496798881,12597,11586,5793,46948,55708,40117,1024
typed-bit,structured,131072,128,miss,independent,0,1024,9454291803802297344,13047,12288,6144,48123,60298,43984,0
typed-bit,structured,131072,128,miss,dependent,0,1024,9454291803802297344,13050,12288,6144,48144,60300,43980,0
typed-bit,structured,131072,128,mixed,independent,0,1024,8853849158989306707,12738,11884,5942,47666,57663,41898,512
typed-bit,structured,131072,128,mixed,dependent,0,1024,12674220610458925796,12710,11830,5915,47950,57332,41527,609
typed-bit,hash,131072,16,hit,independent,0,1024,10987157055868982125,12527,11624,5812,46782,56398,34350,1024
typed-bit,hash,131072,16,hit,dependent,0,1024,5194474553496798881,12470,11586,5793,46734,56145,34036,1024
typed-bit,hash,131072,16,miss,independent,0,1024,9454291803802297344,13094,12288,6144,47308,61006,35934,0
typed-bit,hash,131072,16,miss,dependent,0,1024,9454291803802297344,13094,12288,6144,47309,60986,35933,0
typed-bit,hash,131072,16,mixed,independent,0,1024,8853849158989306707,12766,11884,5942,46892,58073,34643,512
typed-bit,hash,131072,16,mixed,dependent,0,1024,12674220610458925796,12720,11830,5915,46643,57911,34382,609
typed-bit,hash,131072,128,hit,independent,0,1024,10987157055868982125,12527,11624,5812,46782,56398,34350,1024
typed-bit,hash,131072,128,hit,dependent,0,1024,5194474553496798881,12470,11586,5793,46734,56145,34036,1024
typed-bit,hash,131072,128,miss,independent,0,1024,9454291803802297344,13094,12288,6144,47308,61006,35934,0
typed-bit,hash,131072,128,miss,dependent,0,1024,9454291803802297344,13094,12288,6144,47309,60986,35933,0
typed-bit,hash,131072,128,mixed,independent,0,1024,8853849158989306707,12766,11884,5942,46892,58073,34643,512
typed-bit,hash,131072,128,mixed,dependent,0,1024,12674220610458925796,12720,11830,5915,46643,57911,34382,609
