variant,trial,case,operation,mode,round,items,ns,calls,requested,peak,live,checksum
baseline,0,bit-15-4096,query,0,1,4096,28922541,0,0,0,0,6584442294199094370
baseline,0,bit-15-4096,build,0,2,2632,1035417,0,0,0,0,2558807147
baseline,0,bit-15-4096,query,0,2,4096,27948667,0,0,0,0,6584442294199094370
baseline,0,bit-15-4096,build,0,3,2632,1026000,0,0,0,0,2558807147
baseline,0,bit-15-4096,query,0,3,4096,28422583,0,0,0,0,6584442294199094370
candidate,0,byte-3-0,build,0,1,5690,1183292,0,0,0,0,1761918743
candidate,0,byte-3-0,query,0,1,4096,18245708,0,0,0,0,6584442294199094370
candidate,0,byte-3-0,build,0,2,5690,1322667,0,0,0,0,1761918743
candidate,0,byte-3-0,query,0,2,4096,18322791,0,0,0,0,6584442294199094370
candidate,0,byte-3-0,build,0,3,5690,1173209,0,0,0,0,1761918743
candidate,0,byte-3-0,query,0,3,4096,18827167,0,0,0,0,6584442294199094370
