case,layout,value_tile_words,older,newer,canceled,output_records,payload_bytes,file_bytes,sparse_entries,cpu_ms,gpu_total_ms,gpu_device_ms,fixture_encode_ms,map_import_ms,clip_ms,repeats,cpu_min_ms,cpu_max_ms,gpu_min_ms,gpu_max_ms
balanced-65536-90,fv,4,65536,65536,58982,72090,18455330,19703664,0,4.73438,2.07863,1.03525,5.3335,4.25704,0.844042,5,4.62017,4.94225,1.98313,2.29096
balanced-262144-0,fv,4,262144,262144,0,524288,134217273,143294296,0,36.6368,7.10842,5.70567,20.7676,18.5204,0.95225,5,36.4781,37.1664,6.93758,7.12329
balanced-262144-50,fv,4,262144,262144,131072,393216,100663550,107471392,0,22.9877,5.35783,3.82304,24.2486,22.347,1.54963,5,22.7849,23.038,5.20275,5.41387
balanced-262144-90,fv,4,262144,262144,235929,288359,73819893,78812384,0,17.0386,4.15088,2.89554,21.4487,13.6665,1.17296,5,16.9691,17.1817,3.99517,4.84296
skew-262144,ff,1,262144,4096,131072,135168,2162688,4325632,0,1.07146,1.42237,0.327125,2.83092,4.63542,2.20538,5,1.06775,1.12575,1.05154,1.59363
skew-4096,ff,1,4096,262144,2048,264192,4227072,8454400,0,1.61596,1.53942,0.441083,2.26288,3.19188,0.289792,5,1.58292,1.71592,1.26896,1.62767
skew-262144,fv,4,262144,4096,131072,135168,34603433,36943824,0,7.90754,2.88,1.64937,6.05417,10.238,0.867125,5,7.84912,7.98642,2.62375,3.06254
skew-4096,fv,4,4096,262144,2048,264192,67632560,72206664,0,15.4607,4.11867,2.78483,6.38912,11.7982,1.15904,5,15.219,15.741,3.99192,4.31613
scattered-262144,ff,1,262144,262144,131072,393216,6291456,12583168,0,3.38088,1.84613,0.847375,4.83596,4.87029,0.666875,5,3.272,3.44563,1.61725,2.007
scattered-262144,fv,4,262144,262144,131072,393216,100661832,107469664,0,32.2396,5.84992,4.67433,14.1307,19.7308,0.923,5,32.0019,32.3803,5.77508,6.23879
word-balanced-262144-0,fv,1,262144,262144,0,524288,134217273,143294296,0,37.3751,10.1327,8.72208,12.7485,14.7212,1.38938,5,35.8459,37.8131,4.60458,10.1962
word-balanced-262144-50,fv,1,262144,262144,131072,393216,100663550,107471392,0,23.0412,7.56629,6.1045,12.242,22.2246,0.836375,5,22.8196,23.2928,7.36358,7.64275
