records,key_bytes,distribution,query_kind,access,profile,process,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
131072,128,hash,hit,dependent,typed-bit,0,7629.837,7640.34,8115.977,1.0637156468742386,1.063885309092018,0.9969689830557278,0.9970734630372837,0.9972324958535491
131072,128,hash,hit,dependent,typed-bit,1,8069.422,8125.504,8185.46,1.0143799642650986,1.0149963835627056,0.9976849643010367,0.9979918784114807,0.9982912383665671
131072,128,hash,hit,dependent,typed-bit,2,7600.876,7639.323,7815.511,1.0282381925451751,1.0230669114159845,0.9930938616809573,0.9981136384806172,0.9983075725427502
131072,128,hash,hit,dependent,typed-byte,0,4339.015,4546.198,4582.489,1.0561127352636484,1.0566700159392723,0.9973184185994537,0.9975312369281968,0.998057605812038
131072,128,hash,hit,dependent,typed-byte,1,3677.211,3701.95,3719.233,1.0114276825561548,1.0114319248698618,1.0000095180831343,1.0000097246046002,1.000013712504702
131072,128,hash,hit,dependent,typed-byte,2,3937.037,3976.105,4106.104,1.0429427003099032,1.0418585092583352,0.9968115761315349,0.9978488899139125,0.9984034626852158
131072,128,hash,hit,independent,typed-bit,0,7628.708,7918.396,8230.143,1.07883838259375,1.0814431162306757,0.9946487662130993,0.997050233513561,0.9973748471281306
131072,128,hash,hit,independent,typed-bit,1,8034.236,8125.036,8209.132,1.021768840248158,1.0232601683138947,0.9964699817132582,0.996543769159915,0.9979243846974322
131072,128,hash,hit,independent,typed-bit,2,7732.513,7735.855,7738.358,1.0007558991494745,1.00267294253115,0.9933020978288761,0.9948442550732339,0.9963875909422978
131072,128,hash,hit,independent,typed-byte,0,4095.886,4209.366,4342.987,1.0603290716587328,1.0606972912810202,0.9976381178577725,0.9977428904970487,0.9979845668430507
131072,128,hash,hit,independent,typed-byte,1,3682.195,3689.163,3763.57,1.022099590054302,1.0221184755779125,1.0000097583110314,1.0000179240914726,1.0000364016080476
131072,128,hash,hit,independent,typed-byte,2,3947.184,3954.03,4246.068,1.0757208176766018,1.0722022136576663,0.9960316226683132,0.9993002606415105,0.9993492715027452
131072,128,hash,miss,dependent,typed-bit,0,7939.595,8112.381,8375.31,1.0548787438150182,1.0568934043812788,0.9937624022384013,0.9956603397366784,0.9964105482718328
131072,128,hash,miss,dependent,typed-bit,1,7974.152,8044.042,8281.219,1.0385077936813845,1.037407681916038,0.9960287247565849,0.9970849564944335,0.9971540427063906
131072,128,hash,miss,dependent,typed-bit,2,7813.838,7853.429,7934.703,1.0154680708763095,1.0153262354935673,0.9979006145535629,0.9980400156747555,0.9981172555325832
131072,128,hash,miss,dependent,typed-byte,0,4079.112,4180.038,4510.92,1.1058583338726664,1.104392423940897,0.9950428680313433,0.9964900729784613,0.9978127592476009
131072,128,hash,miss,dependent,typed-byte,1,3793.106,3800.303,3827.225,1.0089950030397252,1.0091019289498548,1.0000121272645688,1.0001181012352292,1.000121832390733
131072,128,hash,miss,dependent,typed-byte,2,4040.532,4178.167,4344.701,1.0752794434000275,1.0700497548455683,0.9933739974281313,0.9981202283202179,0.9982289460892774
131072,128,hash,miss,independent,typed-bit,0,7937.881,8204.926,8219.604,1.0354909578513458,1.0349490215664088,0.9963380230969765,0.9968186184738291,0.9968597412835994
131072,128,hash,miss,independent,typed-bit,1,8418.818,8489.019,8517.949,1.0117749308750945,1.0101305923458117,0.9960381307753778,0.9976595289267448,0.9980221507337891
131072,128,hash,miss,independent,typed-bit,2,7840.591,7907.262,7958.328,1.0150163425180576,1.0134676327454348,0.9967040815608504,0.9967947185764175,0.9982271744566193
131072,128,hash,miss,independent,typed-byte,0,4332.606,4348.002,4402.095,1.0160386150967802,1.015387169236204,0.9976717903634518,0.998017250222056,0.9983118705001103
131072,128,hash,miss,independent,typed-byte,1,3855.672,3874.283,3905.095,1.0128182583995733,1.0127167213332422,1.0000117794829575,1.0000118731646606,1.000112042725626
131072,128,hash,miss,independent,typed-byte,2,4159.052,4177.378,4540.878,1.0918060173327961,1.0706670164906715,0.9795581383159822,0.9979764818984541,0.9988983066333387
131072,128,hash,mixed,dependent,typed-bit,0,8008.443,8085.693,8127.553,1.0148730533513193,1.0164145879004702,0.995083563683977,0.9965950391218612,0.997629145702168
131072,128,hash,mixed,dependent,typed-bit,1,8128.993,8361.155,8367.015,1.0292806255338145,1.0289906071014954,0.9974425765939228,0.997524145886543,0.9977237032926464
131072,128,hash,mixed,dependent,typed-bit,2,7645.599,7740.341,7771.24,1.0164331140045404,1.0161373671789111,0.99693112038748,0.9971908214379701,0.9972212772341317
131072,128,hash,mixed,dependent,typed-byte,0,4365.677,4448.883,4595.179,1.052569624367538,1.0523825959000792,0.9973237168780585,0.9975009603321547,0.9984245483641624
131072,128,hash,mixed,dependent,typed-byte,1,3724.243,3726.023,3763.962,1.0106649861461778,1.0106578159868045,1.0000106270998486,1.000012345602805,1.00001772172224
131072,128,hash,mixed,dependent,typed-byte,2,4056.168,4064.402,4177.211,1.0298417126706783,1.03086252095785,0.996314586992133,0.9966643393468909,0.9976522612815106
