case,layout,value_tile_words,older,newer,canceled,output_records,payload_bytes,file_bytes,sparse_entries,cpu_ms,gpu_total_ms,gpu_device_ms,fixture_encode_ms,map_import_ms,clip_ms,repeats,cpu_min_ms,cpu_max_ms,gpu_min_ms,gpu_max_ms,cpu_forward_ms,cpu_forward_min_ms,cpu_forward_max_ms
balanced-16384-50,fv,4,16384,16384,8192,24576,6291395,6717152,0,1.63717,1.45883,0.581292,0.835208,1.58929,0.659459,5,1.59633,1.95896,1.35825,2.15258,0.655917,0.649583,0.690542
balanced-16384-90,fv,4,16384,16384,14745,18023,4613769,4926072,0,1.24879,1.46383,0.525417,0.709458,1.47442,0.499833,5,1.20904,1.2805,1.34796,4.67421,0.493125,0.474541,0.506625
balanced-32768-0,fv,4,32768,32768,0,65536,16775905,17910784,0,4.66029,1.96054,1.03212,1.29963,3.11629,0.76125,5,4.62454,4.91579,1.94692,2.76546,1.73892,1.7205,1.80921
balanced-32768-50,fv,4,32768,32768,16384,49152,12582159,13433384,0,3.11621,1.95796,0.777542,2.68404,3.05029,0.746541,5,3.08908,3.22887,1.70175,4.70563,1.27346,1.26579,1.33892
balanced-32768-90,fv,4,32768,32768,29491,36045,9226485,9850784,0,2.47917,1.66575,0.67075,1.47546,3.52038,0.939833,5,2.36525,2.54029,1.60912,4.66962,1.03946,0.957625,1.08708
balanced-65536-0,fv,4,65536,65536,0,131072,33554202,35823672,0,9.23379,2.93154,1.65704,5.24408,4.99217,1.03846,5,9.14288,9.66563,2.88867,4.31588,3.60746,3.3695,3.763
balanced-65536-50,fv,4,65536,65536,32768,98304,25166411,26868592,0,6.29304,2.52525,1.25196,5.95471,5.488,1.06808,5,6.20979,6.4445,2.38225,4.23483,2.65767,2.60233,2.82379
balanced-65536-90,fv,4,65536,65536,58982,72090,18455330,19703664,0,4.69688,2.40379,1.05238,3.14262,4.39742,1.10508,5,4.63029,4.86942,2.18875,2.5145,2.01592,1.92496,2.16175
balanced-131072-0,fv,4,131072,131072,0,262144,67107712,71646360,0,18.623,4.34725,3.01788,10.482,8.43404,1.44725,5,18.3998,19.1465,4.295,7.31729,6.96863,6.88608,7.43687
balanced-131072-50,fv,4,131072,131072,65536,196608,50330934,53734992,0,12.3478,3.55825,2.12633,12.2948,12.469,0.850625,5,12.2145,12.5773,3.38792,6.31158,4.99829,4.95554,5.09237
balanced-131072-90,fv,4,131072,131072,117964,144180,36909327,39405720,0,9.51008,2.71646,1.67912,6.60925,7.78233,1.14496,5,9.43117,9.67629,2.67146,3.0095,3.86929,3.81113,3.97817
balanced-262144-0,fv,4,262144,262144,0,524288,134217273,143294296,0,37.027,7.20542,6.00571,20.5906,19.5092,1.93554,5,36.6787,37.3969,6.74967,10.5016,14.1642,14.1222,14.3309
balanced-262144-50,fv,4,262144,262144,131072,393216,100663550,107471392,0,23.1185,6.73504,5.21088,21.9415,37.6408,1.42421,5,22.817,23.2612,5.30183,8.24263,9.74912,9.67517,9.89687
