mode,rep,kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
fused,1,cutover,1,train,1024,1,32,50,8,0,2,0,1024,1024,128124,128211,16464,16480,-1,-1,321,321,0.387833,0.611792,2.224917,1.05324998731,0.911584,0.011125,0.808584,0.20525,0.2025,0.085708,1524,187043,23888,2086645356
fused,0,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.9725,16.591416,6.460875,2.25337495795,2.772,0.040875,0.642125,0.30475,1.484292,1.2165,36864,140062520,17513752,2035597497
fused,0,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.79175,16.489584,7.055209,2.30766675668,1.814667,0.042958,0.559625,0.413708,2.849375,1.374376,36864,140062520,17513752,2035597497
fused,0,cutover,44,heldout,32768,8,0,0,512,0,2,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.142167,16.533375,9.392916,5.11804153211,1.97325,0.042916,0.968875,0.642417,4.257791,1.507417,36864,140062520,17513752,2035597497
separate,0,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.548375,17.186458,6.362125,3.00437497208,2.07875,0.0465,0.715042,0.300834,1.859917,1.36075,36864,140062520,17513752,2035597497
separate,0,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.669833,16.315458,9.286542,4.27799997851,1.671042,0.035084,3.622833,0.453916,1.966958,1.536416,36864,140062520,17513752,2035597497
separate,0,cutover,44,heldout,32768,8,0,0,512,0,2,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.651958,16.114333,8.973125,5.60837500961,1.669875,0.033542,0.675917,0.274916,4.906292,1.412209,36864,140062520,17513752,2035597497
separate,2,cutover,13,train,4096,1,32,50,512,0,0,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.121875,2.989291,7.632125,4.600666638,1.570541,0.04675,1.513875,0.276083,3.717292,0.507125,6142,23322038,2916520,3383366565
separate,2,cutover,13,train,4096,1,32,50,512,0,1,1,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.111,3.14525,4.411417,2.11166666122,1.64775,0.064459,1.524541,0.256417,0.401583,0.516334,6142,23322038,2916520,3383366565
separate,2,cutover,13,train,4096,1,32,50,512,0,2,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,1.995792,2.876875,4.277791,1.49866659194,1.153541,0.069042,1.779167,0.282084,0.4225,0.571209,6142,23322038,2916520,3383366565
fused,2,cutover,13,train,4096,1,32,50,512,0,0,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.291542,3.880708,6.656875,4.58737509325,1.508625,0.046917,3.607625,0.373375,0.751,0.369,6142,23322038,2916520,3383366565
fused,2,cutover,13,train,4096,1,32,50,512,0,1,1,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.009625,2.893958,4.322,2.4834999931,1.542875,0.035375,1.491125,0.341625,0.574875,0.335541,6142,23322038,2916520,3383366565
fused,2,cutover,13,train,4096,1,32,50,512,0,2,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.156208,3.040291,6.42,3.78150009783,3.530209,0.05075,1.526084,0.356833,0.58775,0.368124,6142,23322038,2916520,3383366565
fused,2,cutover,34,heldout,2048,1,64,25,32,0,0,1,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.922167,1.207417,4.152542,2.80479161302,1.268708,0.040292,2.153041,0.286208,0.277417,0.1265,3571,1069310,134416,2890404737
fused,2,cutover,34,heldout,2048,1,64,25,32,0,1,0,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.920917,1.205875,6.711958,5.37741667358,3.780208,0.046208,2.244,0.26075,0.266917,0.1135,3571,1069310,134416,2890404737
fused,2,cutover,34,heldout,2048,1,64,25,32,0,2,1,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.889958,1.13325,7.893083,5.91029162752,2.432583,0.037833,2.168417,0.2855,2.797541,0.170916,3571,1069310,134416,2890404737
separate,2,cutover,34,heldout,2048,1,64,25,32,0,0,1,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.914958,1.185542,7.059625,4.37741668429,1.277042,0.031083,2.140542,0.247833,1.591583,1.77125,3571,1069310,134416,2890404737
separate,2,cutover,34,heldout,2048,1,64,25,32,0,1,0,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.972458,1.343458,6.020208,3.88549995841,1.052625,0.031667,2.146792,0.235167,2.262875,0.290625,3571,1069310,134416,2890404737
separate,2,cutover,34,heldout,2048,1,64,25,32,0,2,1,2048,2048,619720,620019,78048,78080,-1,-1,577,577,1.000666,1.262041,3.667416,1.19616667507,1.009416,0.033625,1.902208,0.24275,0.20975,0.269334,3571,1069310,134416,2890404737
