case,mode,distribution,older,newer,cancelled,trial,input_a_bytes,input_b_bytes,output_bytes,output_records,value_bytes,complete_ms,merge_ms,output_ms,sequence,process,revision
1,typed-bit,structured,65536,65536,0,0,1241632,1241632,2441152,131072,2097152,29.399209,28.711333,0.665208,11,0,baseline
1,typed-bit,structured,65536,65536,0,1,1241632,1241632,2441152,131072,2097152,29.250375,28.472208,0.773167,11,0,baseline
1,typed-bit,structured,65536,65536,0,2,1241632,1241632,2441152,131072,2097152,29.086875,28.373,0.710333,11,0,baseline
1,typed-byte,structured,65536,65536,0,-1,1595704,1593656,3174520,131072,2097152,8.309709,7.435708,0.870708,12,0,baseline
1,typed-byte,structured,65536,65536,0,0,1595704,1593656,3174520,131072,2097152,8.360375,7.493167,0.855916,12,0,baseline
1,typed-byte,structured,65536,65536,0,1,1595704,1593656,3174520,131072,2097152,8.332542,7.488709,0.840583,12,0,baseline
1,typed-byte,structured,65536,65536,0,2,1595704,1593656,3174520,131072,2097152,8.424667,7.566291,0.8565,12,0,baseline
1,typed-byte,structured,65536,65536,0,-1,1390696,1390696,2772816,131072,2097152,7.025209,6.254458,0.766958,13,0,candidate
1,typed-byte,structured,65536,65536,0,0,1390696,1390696,2772816,131072,2097152,7.15775,6.355917,0.786625,13,0,candidate
1,typed-byte,structured,65536,65536,0,1,1390696,1390696,2772816,131072,2097152,7.246167,6.423167,0.820292,13,0,candidate
1,typed-byte,structured,65536,65536,0,2,1390696,1390696,2772816,131072,2097152,6.899125,6.10375,0.789167,13,0,candidate
1,raw-bit,structured,65536,65536,0,-1,1159072,1159072,2276680,131072,2097152,12.33075,11.6785,0.649083,14,0,candidate
1,raw-bit,structured,65536,65536,0,0,1159072,1159072,2276680,131072,2097152,12.337917,11.600834,0.730083,14,0,candidate
1,raw-bit,structured,65536,65536,0,1,1159072,1159072,2276680,131072,2097152,12.234,11.499917,0.729958,14,0,candidate
1,raw-bit,structured,65536,65536,0,2,1159072,1159072,2276680,131072,2097152,12.289333,11.643958,0.642125,14,0,candidate
1,raw-bit,structured,65536,65536,0,-1,1159072,1159072,2276680,131072,2097152,12.360625,11.527166,0.830458,15,0,baseline
1,raw-bit,structured,65536,65536,0,0,1159072,1159072,2276680,131072,2097152,12.495458,11.746125,0.73425,15,0,baseline
1,raw-bit,structured,65536,65536,0,1,1159072,1159072,2276680,131072,2097152,11.844791,11.078208,0.759417,15,0,baseline
1,raw-bit,structured,65536,65536,0,2,1159072,1159072,2276680,131072,2097152,11.8425,11.181916,0.657209,15,0,baseline
2,typed-bit,structured,262144,262144,0,-1,4965464,4965464,9763608,524288,8388608,119.141083,116.803709,2.331041,16,0,baseline
2,typed-bit,structured,262144,262144,0,0,4965464,4965464,9763608,524288,8388608,122.142875,119.549084,2.580208,16,0,baseline
2,typed-bit,structured,262144,262144,0,1,4965464,4965464,9763608,524288,8388608,120.979458,118.718584,2.255667,16,0,baseline
2,typed-bit,structured,262144,262144,0,2,4965464,4965464,9763608,524288,8388608,121.006208,118.352208,2.649459,16,0,baseline
2,typed-bit,structured,262144,262144,0,-1,4965464,4965464,9763608,524288,8388608,123.11775,120.851125,2.260875,17,0,candidate
2,typed-bit,structured,262144,262144,0,0,4965464,4965464,9763608,524288,8388608,122.500042,119.946,2.544167,17,0,candidate
2,typed-bit,structured,262144,262144,0,1,4965464,4965464,9763608,524288,8388608,122.337917,119.968709,2.364541,17,0,candidate
2,typed-bit,structured,262144,262144,0,2,4965464,4965464,9763608,524288,8388608,122.653958,120.509042,2.140083,17,0,candidate
2,typed-byte,structured,262144,262144,0,-1,5562024,5562024,11090488,524288,8388608,30.002125,27.497,2.501167,18,0,candidate
2,typed-byte,structured,262144,262144,0,0,5562024,5562024,11090488,524288,8388608,28.154084,25.98325,2.162666,18,0,candidate
2,typed-byte,structured,262144,262144,0,1,5562024,5562024,11090488,524288,8388608,27.616459,25.598958,2.014167,18,0,candidate
2,typed-byte,structured,262144,262144,0,2,5562024,5562024,11090488,524288,8388608,28.442458,25.750667,2.68825,18,0,candidate
2,typed-byte,structured,262144,262144,0,-1,6382016,6373816,12697296,524288,8388608,35.339667,31.926042,3.407791,19,0,baseline
2,typed-byte,structured,262144,262144,0,0,6382016,6373816,12697296,524288,8388608,33.41275,29.9945,3.408417,19,0,baseline
2,typed-byte,structured,262144,262144,0,1,6382016,6373816,12697296,524288,8388608,32.854542,30.166917,2.683167,19,0,baseline
2,typed-byte,structured,262144,262144,0,2,6382016,6373816,12697296,524288,8388608,33.332583,30.531375,2.794791,19,0,baseline
2,raw-bit,structured,262144,262144,0,-1,4635496,4635496,9105952,524288,8388608,50.0155,47.660875,2.349542,20,0,baseline
2,raw-bit,structured,262144,262144,0,0,4635496,4635496,9105952,524288,8388608,48.775375,46.55,2.216708,20,0,baseline
2,raw-bit,structured,262144,262144,0,1,4635496,4635496,9105952,524288,8388608,48.92925,46.72175,2.203875,20,0,baseline
2,raw-bit,structured,262144,262144,0,2,4635496,4635496,9105952,524288,8388608,48.59,46.50675,2.079541,20,0,baseline
2,raw-bit,structured,262144,262144,0,-1,4635496,4635496,9105952,524288,8388608,50.56325,48.454167,2.104,21,0,candidate
2,raw-bit,structured,262144,262144,0,0,4635496,4635496,9105952,524288,8388608,49.904917,47.606,2.286167,21,0,candidate
2,raw-bit,structured,262144,262144,0,1,4635496,4635496,9105952,524288,8388608,48.317542,46.003042,2.310375,21,0,candidate
2,raw-bit,structured,262144,262144,0,2,4635496,4635496,9105952,524288,8388608,49.385041,47.272666,2.108625,21,0,candidate
2,raw-byte,structured,262144,262144,0,-1,5031680,5031680,10029680,524288,8388608,27.073875,25.127333,1.942416,22,0,candidate
2,raw-byte,structured,262144,262144,0,0,5031680,5031680,10029680,524288,8388608,27.11175,23.713708,3.383791,22,0,candidate
2,raw-byte,structured,262144,262144,0,1,5031680,5031680,10029680,524288,8388608,26.276334,23.318167,2.954583,22,0,candidate
2,raw-byte,structured,262144,262144,0,2,5031680,5031680,10029680,524288,8388608,26.235209,23.912917,2.319333,22,0,candidate
