case,layout,distribution,older,newer,cancelled,trial,input_a_bytes,input_b_bytes,output_bytes,output_records,value_bytes,complete_ms,internal_ms,device_ms,checksum_ms,process,mode,sequence
10,fv,hash-like,65536,65536,0,2,17911656,17912304,35823672,131072,33554202,5.830792,2.735208,1.124958391301334,2.35025,1,fixed,37
11,fv,hash-like,131072,131072,0,-1,35823192,35823456,71646360,262144,67107712,14.113959,8.366709,1.9373750546947122,5.067625,1,fixed,38
11,fv,hash-like,131072,131072,0,0,35823192,35823456,71646360,262144,67107712,9.996417,3.795333,1.3477916363626719,4.936334,1,fixed,38
11,fv,hash-like,131072,131072,0,1,35823192,35823456,71646360,262144,67107712,13.757542,7.000625,2.4544166517443955,5.59175,1,fixed,38
11,fv,hash-like,131072,131072,0,2,35823192,35823456,71646360,262144,67107712,18.164916,7.701458,2.1329583250917494,5.165125,1,fixed,38
11,kv-variable,hash-like,131072,131072,0,-1,36094336,36094632,72156216,262144,67107712,29.912167,29.656958,4.748249950353056,-1.0,1,kv,39
11,kv-variable,hash-like,131072,131072,0,0,36094336,36094632,72156216,262144,67107712,19.236542,18.969583,5.8249583235010505,-1.0,1,kv,39
11,kv-variable,hash-like,131072,131072,0,1,36094336,36094632,72156216,262144,67107712,16.410125,16.155125,4.670874972362071,-1.0,1,kv,39
11,kv-variable,hash-like,131072,131072,0,2,36094336,36094632,72156216,262144,67107712,21.154083,20.836458,6.704916595481336,-1.0,1,kv,39
0,kv-fixed16,structured,4096,4096,0,-1,77928,77928,152888,8192,131072,10.925875,10.873917,2.3822500370442867,-1.0,1,kv,40
0,kv-fixed16,structured,4096,4096,0,0,77928,77928,152888,8192,131072,7.751708,7.697208,2.417166600935161,-1.0,1,kv,40
0,kv-fixed16,structured,4096,4096,0,1,77928,77928,152888,8192,131072,4.606083,4.572042,1.5993749839253724,-1.0,1,kv,40
0,kv-fixed16,structured,4096,4096,0,2,77928,77928,152888,8192,131072,3.729708,3.669417,1.2765416176989675,-1.0,1,kv,40
0,ff,structured,4096,4096,0,-1,131328,131328,262400,8192,131072,2.489667,2.267084,0.16333325766026974,0.018292,1,fixed,41
0,ff,structured,4096,4096,0,0,131328,131328,262400,8192,131072,0.873375,0.714667,0.1365416683256626,0.020166,1,fixed,41
0,ff,structured,4096,4096,0,1,131328,131328,262400,8192,131072,0.973791,0.844208,0.12350000906735659,0.01375,1,fixed,41
0,ff,structured,4096,4096,0,2,131328,131328,262400,8192,131072,0.6605,0.533166,0.158541661221534,0.013209,1,fixed,41
1,ff,structured,65536,65536,0,-1,2097408,2097408,4194560,131072,2097152,4.267083,3.827875,0.22291665663942695,0.224333,1,fixed,42
1,ff,structured,65536,65536,0,0,2097408,2097408,4194560,131072,2097152,3.535708,2.995375,0.23670837981626391,0.270042,1,fixed,42
1,ff,structured,65536,65536,0,1,2097408,2097408,4194560,131072,2097152,1.256042,0.80925,0.23358332691714168,0.221458,1,fixed,42
1,ff,structured,65536,65536,0,2,2097408,2097408,4194560,131072,2097152,3.338916,2.903375,0.3207499976269901,0.249125,1,fixed,42
1,kv-fixed16,structured,65536,65536,0,-1,1241632,1241632,2441152,131072,2097152,16.227209,16.155834,4.310583288315684,-1.0,1,kv,43
1,kv-fixed16,structured,65536,65536,0,0,1241632,1241632,2441152,131072,2097152,7.58525,7.514584,2.2560833604075015,-1.0,1,kv,43
1,kv-fixed16,structured,65536,65536,0,1,1241632,1241632,2441152,131072,2097152,4.5735,4.517792,2.226000011432916,-1.0,1,kv,43
1,kv-fixed16,structured,65536,65536,0,2,1241632,1241632,2441152,131072,2097152,7.824125,7.757833,2.4544583866372705,-1.0,1,kv,43
2,kv-fixed16,structured,262144,262144,0,-1,4965464,4965464,9763608,524288,8388608,26.045,25.9405,11.112041654996574,-1.0,1,kv,44
2,kv-fixed16,structured,262144,262144,0,0,4965464,4965464,9763608,524288,8388608,12.789,12.7075,7.740916684269905,-1.0,1,kv,44
2,kv-fixed16,structured,262144,262144,0,1,4965464,4965464,9763608,524288,8388608,13.34325,13.240125,6.978333287406713,-1.0,1,kv,44
2,kv-fixed16,structured,262144,262144,0,2,4965464,4965464,9763608,524288,8388608,12.721709,12.619542,7.292708323802799,-1.0,1,kv,44
2,ff,structured,262144,262144,0,-1,8388864,8388864,16777472,524288,8388608,4.51675,3.292125,0.46137504978105426,0.842209,1,fixed,45
2,ff,structured,262144,262144,0,0,8388864,8388864,16777472,524288,8388608,4.844834,3.532416,0.8555416716262698,0.855625,1,fixed,45
2,ff,structured,262144,262144,0,1,8388864,8388864,16777472,524288,8388608,3.704292,2.177667,0.6704999250359833,0.95025,1,fixed,45
2,ff,structured,262144,262144,0,2,8388864,8388864,16777472,524288,8388608,5.285625,3.800333,0.8864165865816176,0.909417,1,fixed,45
3,fv,structured,4096,4096,0,-1,1119360,1119728,2238808,8192,2096697,3.197584,2.808917,0.5047083250246942,0.137833,1,fixed,46
3,fv,structured,4096,4096,0,0,1119360,1119728,2238808,8192,2096697,1.668875,1.356417,0.49908336950466037,0.129,1,fixed,46
3,fv,structured,4096,4096,0,1,1119360,1119728,2238808,8192,2096697,3.182083,2.863375,0.5186666385270655,0.112959,1,fixed,46
3,fv,structured,4096,4096,0,2,1119360,1119728,2238808,8192,2096697,2.062166,1.680417,0.2737916656769812,0.141042,1,fixed,46
3,kv-variable,structured,4096,4096,0,-1,1063912,1064280,2125240,8192,2096697,12.46175,12.384375,2.4536667042411864,-1.0,1,kv,47
3,kv-variable,structured,4096,4096,0,0,1063912,1064280,2125240,8192,2096697,5.6675,5.6125,2.333875105250627,-1.0,1,kv,47
3,kv-variable,structured,4096,4096,0,1,1063912,1064280,2125240,8192,2096697,8.642292,8.557333,2.3385833483189344,-1.0,1,kv,47
3,kv-variable,structured,4096,4096,0,2,1063912,1064280,2125240,8192,2096697,3.509541,3.45875,1.7130834166891873,-1.0,1,kv,47
